clade_name	clade_taxid	PD_1P_profile	PD_2P_profile	PD_3P_profile	PD_4P_profile	PD_5P_profile	PD_6P_profile	PD_7P_profile	PD_8P_profile	PD_9P_profile	PD_10P_profile	PD_11P_profile	PD_12P_profile	PD_13P_profile	PD_14P_profile	PD_15P_profile	PD_16P_profile	PD_25P_profile	PD_26P_profile	PD_27P_profile	PD_28P_profile	PD_29P_profile	PD_30P_profile	PD_31P_profile	PD_32P_profile	PD_33P_profile	PD_34P_profile	PD_35P_profile	PD_36P_profile	PD_38P_profile	PD_39P_profile	PD_40P_profile	PD_41P_profile	PD_42P_profile	PD_43P_profile	PD_44P_profile	PD_45P_profile	PD_46P_profile	PD_47P_profile	PD_48P_profile	PD_50P_profile	PD_51P_profile	PD_52P_profile	PD_53P_profile	PD_54P_profile	PD_55P_profile	PD_56P_profile	PD_57P_profile	PD_58P_profile	PD_59P_profile	PD_60P_profile	PD_63P_profile	PD_64P_profile	PD_65P_profile	PD_66P_profile	PD_70P_profile	PD_73P_profile	PD_74P_profile	PD_75P_profile	PD_76P_profile	PD_77P_profile	PD_78P_profile	PD_79S_profile	PD_81P_profile	PD_82P_profile	PD_83P_profile	PD_84P_profile	PD_100P_profile	PD_104P_profile	PD_105P_profile	PD_107P_profile	PD_108S_profile	PD_109S_profile	PD_110S_profile	PD_111P_profile	PD_112S_profile	PD_113P_profile	PD_114P_profile	PD_115S_profile	PD_116P_profile	PD_117_profile	PD_118_profile	PD_119P_profile	PD_120S_profile	PD_121S_profile	PD_122S_profile	PD_123P_profile	PD_126P_profile	PD_127S_profile	PD_128S_profile	PD_129P_profile	PD_130S_profile	PD_131P_profile	PD_134S_profile	PD_137P_profile	PD_138S_profile	PD_140S_profile	PD_141P_profile	PD_142S_profile	PD_145P_profile	PD_146S_profile	PD_147_profile	PD_148P_profile	PD_149S_profile	PD_150P_profile	PD_151S_profile	PD_152P_profile	PD_153S_profile	PD_156P_profile	PD_157S_profile	PD_158P_profile	PD_159S_profile	PD_160P_profile	PD_161S_profile	PD_162P_profile	PD_163S_profile	PD_164P_profile	PD_165S_profile	PD_166_profile	PD_167P_profile	PD_169P_profile	PD_170S_profile	PD_171P_profile	PD_172S_profile	PD_173P_profile	PD_174S_profile	PD_175P_profile	PD_176S_profile	PD_177P_profile	PD_178S_profile	PD_179P_profile	PD_180S_profile	PD_181P_profile	PD_182S_profile	PD_183P_profile	PD_184S_profile	PD_188S_profile	PD_189P_profile	PD_190S_profile	PD_191P_profile	PD_192S_profile	PD_193P_profile	PD_194S_profile	PD_195_profile	PD_196_profile	PD_197_profile	PD_198_profile	PD_199P_profile	PD_200S_profile	PD_203_profile	PD_204_profile	PD_205P_profile	PD_206S_profile	PD_207P_profile	PD_208S_profile	PD_209P_profile	PD_210S_profile	PD_211P_profile	PD_212S_profile	PD_213S_profile	PD_214S_profile	PD_215S_profile	PD_216S_profile	PD_217P_profile	PD_218S_profile	PD_221P_profile	PD_222S_profile	PD_223P_profile	PD_224S_profile	PD_225P_profile	PD_226S_profile	PD_227P_profile	PD_228S_profile	PD_229P_profile	PD_230S_profile	PD_231P_profile	PD_232S_profile
UNCLASSIFIED	-1	5.630217	0.0	1.138283	0.0	2.528083	0.0	1.135208	15.890401	1.775468	0.0	0.482526	0.0	4.981446	0.0	2.190559	3.832987	0.0	100.0	2.182912	0.0	0.0	0.0	0.0	0.693454	1.121731	4.424318	11.114287	100.0	4.413744	0.0	16.674612	0.0	11.421646	0.0	0.142807	4.248595	6.394815	2.00975	3.017803	0.0	0.0	0.0	1.941194	2.464931	8.013414	4.947607	4.666178	0.730448	0.0	0.0	1.897798	0.0	0.0	8.93416	0.835426	0.0	6.639422	0.0	5.480567	0.0	0.0	2.544647	100.0	0.081428	22.378088	0.0	3.642692	5.355368	5.820285	100.0	6.958898	6.256283	0.854565	4.129937	33.230277	4.451581	9.257453	6.254512	5.110902	0.0	0.76485	4.283615	2.661363	2.778215	4.86628	8.331323	5.625421	1.877686	0.242294	0.0	0.0	10.131567	5.835855	2.707395	0.0	5.544268	9.42174	1.990969	5.822658	0.191377	1.000336	3.34642	3.396539	7.369839	5.554594	0.0	3.415417	6.867711	9.473475	8.855504	5.437025	3.324411	10.539937	0.0	2.813776	4.637643	6.883714	2.725844	4.088831	1.954187	0.0	0.0	0.0	0.470277	2.984636	1.500787	1.507761	0.0	1.913319	9.132818	7.04565	6.142492	0.0	6.298861	6.104593	0.0	6.858789	0.0	0.0	100.0	5.166483	0.0	0.832132	5.750831	0.0	0.0	100.0	0.250915	0.0	0.482933	14.179014	8.771756	6.535775	1.103079	5.376819	0.0	27.799252	57.552941	3.020803	0.0	7.932017	48.964204	10.481822	100.0	4.817375	0.805219	5.346959	7.52972	9.463091	3.196669	2.648152	0.0	7.661076	7.30933	8.716417	7.516549
k__Archaea	2157	2.208848	0	0	0.57277	2.113422	0.95731	0	1.270558	0	3.2879	2.30837	0	0	0	0	2.32843	0	0	1.748175	1.78247	0.93421	0	0	0	0	0	0	0	0	4.33071	0	0	0	2.02495	2.560683	0	5.043212	0	0.050222	0	0	3.3282	3.424553	0	0	2.37951	0	5.02714	0	0	0	1.58006	0	0	0	1.93738	0	1.24637	0	2.27342	7.69977	5.494174	0	0	0	6.60475	1.79393	0	0	0	0	0	0	2.121087	0	0	0	0	0.2748	2.93923	0.598449	0.348604	2.875567	10.923293	1.779866	0	9.61783	0	1.228863	0	0	0	0	0	0	0	0	0	2.48961	1.729939	0	0.689962	4.66835	0	0	4.4426	0.854264	0	0	0	0	0.85559	0	0	0	0.455312	1.201952	0.553504	0	5.019218	1.60546	0	2.04912	5.142665	0.962492	0	3.105817	0	0.013472	0	0	0	0	0	0	0.81894	0	2.25583	0	0	0	0	14.080544	0.09727	1.44738	0	0	0	4.63636	2.831998	0	0	0	0	0	0.80798	0	0	0	0.40482	0	0	0	0	3.515195	1.107165	3.614397	0	0	0	0	0.75542	0	0	0.164786	0
k__Archaea|p__Methanobacteriota	2157|28890	2.208848	0	0	0.57277	2.113422	0.95731	0	1.270558	0	3.2879	2.30837	0	0	0	0	2.32843	0	0	1.748175	1.78247	0.93421	0	0	0	0	0	0	0	0	4.33071	0	0	0	2.02495	2.560683	0	5.043212	0	0.050222	0	0	3.3282	3.424553	0	0	2.37951	0	5.02714	0	0	0	1.58006	0	0	0	1.93738	0	1.24637	0	2.27342	7.69977	5.494174	0	0	0	6.60475	1.79393	0	0	0	0	0	0	2.121087	0	0	0	0	0.2748	2.93923	0.598449	0.348604	2.875567	10.923293	1.779866	0	9.61783	0	1.228863	0	0	0	0	0	0	0	0	0	2.48961	1.729939	0	0.689962	4.66835	0	0	4.4426	0.854264	0	0	0	0	0.85559	0	0	0	0.455312	1.201952	0.553504	0	5.019218	1.60546	0	2.04912	5.142665	0.962492	0	3.105817	0	0.013472	0	0	0	0	0	0	0.81894	0	2.25583	0	0	0	0	14.077501	0.09727	1.44738	0	0	0	4.63636	2.831998	0	0	0	0	0	0.80798	0	0	0	0.38038	0	0	0	0	3.515195	1.107165	3.614397	0	0	0	0	0.75542	0	0	0.164786	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria	2157|28890|183925	2.208848	0	0	0.57277	2.113422	0.95731	0	1.270558	0	3.2879	2.30837	0	0	0	0	2.32843	0	0	1.748175	1.78247	0.93421	0	0	0	0	0	0	0	0	4.33071	0	0	0	2.02495	2.560683	0	5.043212	0	0.050222	0	0	3.3282	3.424553	0	0	2.37951	0	5.02714	0	0	0	1.58006	0	0	0	1.93738	0	1.24637	0	2.27342	7.69977	5.494174	0	0	0	6.60475	1.79393	0	0	0	0	0	0	2.121087	0	0	0	0	0.2748	2.93923	0.598449	0.348604	2.875567	10.923293	1.779866	0	9.61783	0	1.228863	0	0	0	0	0	0	0	0	0	2.48961	1.729939	0	0.689962	4.66835	0	0	4.4426	0.854264	0	0	0	0	0.85559	0	0	0	0.455312	1.201952	0.553504	0	5.019218	1.60546	0	2.04912	5.142665	0.962492	0	3.105817	0	0.013472	0	0	0	0	0	0	0.81894	0	2.25583	0	0	0	0	14.077501	0.09727	1.44738	0	0	0	4.63636	2.831998	0	0	0	0	0	0.80798	0	0	0	0.38038	0	0	0	0	3.515195	1.107165	3.614397	0	0	0	0	0.75542	0	0	0.164786	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	2.208848	0	0	0.57277	2.113422	0.95731	0	1.270558	0	3.2879	2.30837	0	0	0	0	2.32843	0	0	1.748175	1.78247	0.93421	0	0	0	0	0	0	0	0	4.33071	0	0	0	2.02495	2.560683	0	5.043212	0	0.050222	0	0	3.3282	3.424553	0	0	2.37951	0	5.02714	0	0	0	1.58006	0	0	0	1.93738	0	1.24637	0	2.27342	7.69977	5.494174	0	0	0	6.60475	1.79393	0	0	0	0	0	0	2.121087	0	0	0	0	0.2748	2.93923	0.598449	0.348604	2.875567	10.923293	1.779866	0	9.61783	0	1.228863	0	0	0	0	0	0	0	0	0	2.48961	1.729939	0	0.689962	4.66835	0	0	4.4426	0.854264	0	0	0	0	0.85559	0	0	0	0.455312	1.201952	0.553504	0	5.019218	1.60546	0	2.04912	5.142665	0.962492	0	3.105817	0	0.013472	0	0	0	0	0	0	0.81894	0	2.25583	0	0	0	0	14.077501	0.09727	1.44738	0	0	0	4.63636	2.831998	0	0	0	0	0	0.80798	0	0	0	0.38038	0	0	0	0	3.515195	1.107165	3.614397	0	0	0	0	0.75542	0	0	0.164786	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	2157|28890|183925|2158|2159	2.208848	0	0	0.57277	2.113422	0.95731	0	1.270558	0	3.2879	2.30837	0	0	0	0	2.32843	0	0	1.748175	1.78247	0.93421	0	0	0	0	0	0	0	0	4.33071	0	0	0	2.02495	2.560683	0	5.043212	0	0.050222	0	0	3.3282	3.424553	0	0	2.37951	0	5.02714	0	0	0	1.58006	0	0	0	1.93738	0	1.24637	0	2.27342	7.69977	5.494174	0	0	0	6.60475	1.79393	0	0	0	0	0	0	2.121087	0	0	0	0	0.2748	2.93923	0.598449	0.348604	2.875567	10.923293	1.779866	0	9.61783	0	1.228863	0	0	0	0	0	0	0	0	0	2.48961	1.729939	0	0.689962	4.66835	0	0	4.4426	0.854264	0	0	0	0	0.85559	0	0	0	0.455312	1.201952	0.553504	0	5.019218	1.60546	0	2.04912	5.142665	0.962492	0	3.105817	0	0.013472	0	0	0	0	0	0	0.81894	0	2.25583	0	0	0	0	14.077501	0.09727	1.44738	0	0	0	4.63636	2.831998	0	0	0	0	0	0.80798	0	0	0	0.38038	0	0	0	0	3.515195	1.107165	3.614397	0	0	0	0	0.75542	0	0	0.164786	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__GGB532	2157|28890|183925|2158|2159|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.013472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__GGB532|s__GGB532_SGB711	2157|28890|183925|2158|2159||	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.013472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__GGB532|s__GGB532_SGB711|t__SGB711	2157|28890|183925|2158|2159|||	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.013472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	2157|28890|183925|2158|2159|2172	2.208848	0	0	0.57277	2.113422	0.95731	0	1.270558	0	3.2879	2.30837	0	0	0	0	2.32843	0	0	1.748175	1.78247	0.93421	0	0	0	0	0	0	0	0	4.33071	0	0	0	2.02495	2.560683	0	5.043212	0	0.050222	0	0	3.3282	3.424553	0	0	2.37951	0	4.278768	0	0	0	1.58006	0	0	0	1.93738	0	1.24637	0	2.27342	7.69977	5.148411	0	0	0	5.96825	1.79393	0	0	0	0	0	0	1.61085	0	0	0	0	0.2748	2.93923	0.598449	0.348604	2.875567	10.923293	1.779866	0	9.61783	0	1.228863	0	0	0	0	0	0	0	0	0	2.48961	1.729939	0	0.689962	4.66835	0	0	4.4426	0.854264	0	0	0	0	0.85559	0	0	0	0.455312	1.201952	0.553504	0	5.019218	1.60546	0	1.77759	5.142665	0.962492	0	3.105817	0	0	0	0	0	0	0	0	0.81894	0	2.25583	0	0	0	0	14.077501	0.09727	1.44738	0	0	0	3.79152	2.831998	0	0	0	0	0	0.80798	0	0	0	0.38038	0	0	0	0	3.515195	1.107165	3.614397	0	0	0	0	0.75542	0	0	0.164786	0
