#mpa_vJan25_CHOCOPhlAnSGB_202503
#clade_name	relative_abundance
UNCLASSIFIED	5.110902
d__Bacteria	94.614292
d__Archaea	0.2748
d__Bacteria;p__Bacillota_A	84.396798
d__Bacteria;p__Bacillota	3.534005
d__Bacteria;p__Bacteroidota	4.245952999999999
d__Bacteria;p__Actinomycetota	1.2460200000000001
d__Bacteria;p__Cyanobacteriota	0.425962
d__Archaea;p__Methanobacteriota	0.2748
d__Bacteria;p__Bacillota_I	0.25886200000000004
d__Bacteria;p__Desulfobacterota	0.219863
d__Bacteria;p__Verrucomicrobiota	0.189733
d__Bacteria;p__Bacillota_C	0.062505
d__Bacteria;p__Pseudomonadota	0.034591
d__Bacteria;p__Bacillota_A;c__Clostridia	84.396798
d__Bacteria;p__Bacillota;c__Bacilli	3.534005
d__Bacteria;p__Bacteroidota;c__Bacteroidia	4.245952999999999
d__Bacteria;p__Actinomycetota;c__Coriobacteriia	1.222712
d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia	0.425962
d__Archaea;p__Methanobacteriota;c__Methanobacteria	0.2748
d__Bacteria;p__Bacillota_I;c__Bacilli_A	0.25886200000000004
d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia	0.219863
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae	0.189733
d__Bacteria;p__Bacillota_C;c__Negativicutes	0.062505
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria	0.034591
d__Bacteria;p__Actinomycetota;c__Actinomycetes	0.023308
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales	48.22145
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales	32.286707
d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales	3.445088
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales	4.245952999999999
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Monoglobales	1.267351
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales	1.5000840000000002
d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales	1.222712
d__Bacteria;p__Bacillota_A;c__Clostridia;o__UBA1381	0.532735
d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia;o__Gastranaerophilales	0.425962
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales	0.45151199999999997
d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales	0.2748
d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales	0.25886200000000004
d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales	0.219863
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales	0.189733
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales	0.136959
d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Acidaminococcales	0.062505
d__Bacteria;p__Bacillota;c__Bacilli;o__MOL361	0.088917
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales	0.034591
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales	0.023308
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	48.16724299999999
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae	11.018301000000001
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae	15.690619
d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae	3.445088
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae	4.697994000000001
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae	3.5853789999999996
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Monoglobales;f__Monoglobaceae	1.267351
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae	1.122489
d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae	1.035614
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae	0.879793
d__Bacteria;p__Bacillota_A;c__Clostridia;o__UBA1381;f__UBA1381	0.532735
d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae	0.425962
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__Aristaeellaceae	0.43349899999999997
d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	0.2748
d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Coprobacillaceae	0.236717
d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae	0.219863
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae	0.189733
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae	0.579961
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae	0.136959
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae	0.377595
d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae	0.158215
d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae	0.062505
d__Bacteria;p__Bacillota;c__Bacilli;o__MOL361;f__Turicibacteraceae	0.088917
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae	0.063438
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae	0.04592
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae	0.034591
d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__UMGS124	0.028883
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae	0.023308
d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Erysipelotrichaceae	0.022145
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__Christensenellaceae	0.013744
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae	0.009584
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Bianqueaceae	0.008287
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae	0.007591
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__QAND01	0.004269
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter	11.939647
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Butyribacter	5.055446
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-217	4.47544
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium	9.316420999999998
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A	7.237515000000001
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E	3.90833
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea_A	3.765045
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter	3.52206
