#mpa_vJan25_CHOCOPhlAnSGB_202503
#clade_name	relative_abundance
UNCLASSIFIED	1.990969
d__Bacteria	98.00902900000004
d__Bacteria;p__Bacillota_A	89.67962200000004
d__Bacteria;p__Bacillota_C	1.760562
d__Bacteria;p__Actinomycetota	1.92952
d__Bacteria;p__Bacteroidota	2.161239
d__Bacteria;p__Verrucomicrobiota	0.900113
d__Bacteria;p__Bacillota	0.666831
d__Bacteria;p__Bacillota_I	0.555845
d__Bacteria;p__Cyanobacteriota	0.165454
d__Bacteria;p__Pseudomonadota	0.13742600000000002
d__Bacteria;p__Bacillota_B	0.052417
d__Bacteria;p__Bacillota_A;c__Clostridia	89.67962200000004
d__Bacteria;p__Bacillota_C;c__Negativicutes	1.760562
d__Bacteria;p__Actinomycetota;c__Actinomycetes	1.622742
d__Bacteria;p__Bacteroidota;c__Bacteroidia	2.161239
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae	0.900113
d__Bacteria;p__Bacillota;c__Bacilli	0.666831
d__Bacteria;p__Bacillota_I;c__Bacilli_A	0.555845
d__Bacteria;p__Actinomycetota;c__Coriobacteriia	0.306778
d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia	0.165454
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria	0.130974
d__Bacteria;p__Bacillota_B;c__Peptococcia	0.052417
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria	0.006452
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales	75.81638600000002
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales	11.530389
d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Veillonellales	1.760562
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales	1.622742
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales	1.3953790000000001
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales	2.161239
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales	0.900113
d__Bacteria;p__Bacillota_A;c__Clostridia;o__UBA1381	0.649241
d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales	0.666831
d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales	0.555845
d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales	0.306778
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales	0.175835
d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia;o__Gastranaerophilales	0.165454
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales	0.130974
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Eubacteriales	0.08632300000000001
d__Bacteria;p__Bacillota_B;c__Peptococcia;o__Peptococcales	0.052417
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Monoglobales	0.026069
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__RF32	0.006452
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	75.81638600000002
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae	5.166994
d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Veillonellales;f__Dialisteraceae	1.760562
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae	4.9238669999999995
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae	1.622742
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae	1.268731
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae	1.8319210000000001
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae	0.900113
d__Bacteria;p__Bacillota_A;c__Clostridia;o__UBA1381;f__UBA1381	0.649241
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae	1.2377049999999998
d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae	0.666831
d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Coprobacillaceae	0.520644
d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae	0.306778
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae	0.329318
