#mpa_vJan25_CHOCOPhlAnSGB_202503
#clade_name	relative_abundance
UNCLASSIFIED	1.000336
d__Bacteria	98.99966200000003
d__Bacteria;p__Bacteroidota	20.022304
d__Bacteria;p__Bacillota_A	76.03493200000003
d__Bacteria;p__Actinomycetota	1.494882
d__Bacteria;p__Bacillota_I	0.504125
d__Bacteria;p__Pseudomonadota	0.385208
d__Bacteria;p__Bacillota_C	0.327624
d__Bacteria;p__Desulfobacterota	0.14181
d__Bacteria;p__Bacillota	0.088777
d__Bacteria;p__Bacteroidota;c__Bacteroidia	20.022304
d__Bacteria;p__Bacillota_A;c__Clostridia	76.03493200000003
d__Bacteria;p__Actinomycetota;c__Coriobacteriia	1.4373340000000001
d__Bacteria;p__Bacillota_I;c__Bacilli_A	0.504125
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria	0.385208
d__Bacteria;p__Bacillota_C;c__Negativicutes	0.327624
d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia	0.14181
d__Bacteria;p__Actinomycetota;c__Actinomycetes	0.057548
d__Bacteria;p__Bacillota;c__Bacilli	0.088777
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales	20.022304
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales	31.379997000000003
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales	41.41332900000002
d__Bacteria;p__Bacillota_A;c__Clostridia;o__UBA1381	1.728213
d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales	1.4373340000000001
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Monoglobales	0.319861
d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales	0.48007
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales	0.385208
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales	0.414726
d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Acidaminococcales	0.249412
d__Bacteria;p__Bacillota_A;c__Clostridia;o__TANB77	0.39408
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales	0.257887
d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales	0.14181
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales	0.126839
d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Veillonellales	0.078212
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales	0.057548
d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales	0.088777
d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39	0.024055
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae	15.178751000000002
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae	24.333672
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	41.41231300000002
d__Bacteria;p__Bacillota_A;c__Clostridia;o__UBA1381;f__UBA1381	1.728213
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae	3.7789979999999996
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae	3.9362470000000007
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae	2.0906290000000003
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae	0.8895230000000001
d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae	0.629277
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae	1.019449
d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae	0.600959
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Monoglobales;f__Monoglobaceae	0.319861
d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Coprobacillaceae	0.48007
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae	0.385208
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__Aristaeellaceae	0.259489
d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae	0.249412
d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__QAMH01	0.207098
d__Bacteria;p__Bacillota_A;c__Clostridia;o__TANB77;f__CAG-508	0.39408
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae	0.21151999999999999
d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae	0.14181
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae	0.126839
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__QAND01	0.116704
d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Veillonellales;f__Dialisteraceae	0.078212
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae	0.074104
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae	0.10092799999999999
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae	0.057548
d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae	0.049832
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae	0.046367
