#mpa_vJan25_CHOCOPhlAnSGB_202503
#/home/daniel.castanedamogo/anaconda3/envs/metaphlan4/bin/metaphlan --nproc 24 --input_type fastq --db_dir /bulk/IMCshared_bulk/shared/dbs/metaphlan4.2/ -t rel_ab_w_read_stats -o /bulk/IMCshared_bulk/daniel/parkinsons/novaseq/results_0526/metaphlan4/PD_Extr_pos_plate3_metaphlan4.txt --mapout /bulk/IMCshared_bulk/daniel/parkinsons/novaseq/results_0526/metaphlan4/PD_Extr_pos_plate3_bowtie2.vz2 --verbose /bulk/IMCshared_bulk/daniel/parkinsons/novaseq/results_0526/bbmerge/PD_Extr_pos_plate3_bbmerged.fastq.gz
#4393192 reads processed
#SampleID	Metaphlan_Analysis
#Estimated reads mapped to known clades: 4380891
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
UNCLASSIFIED	-1	0.280001	-	12301
k__Bacteria	2	99.327667	0.9975780591662369	4309005
k__Eukaryota	2759	0.392331	0.003940302058135194	71886
k__Bacteria|p__Pseudomonadota	2|1224	52.378449	0.526052737265481	2807892
k__Bacteria|p__Firmicutes	2|1239	46.949219	0.4715253219007559	1501113
k__Eukaryota|p__Ascomycota	2759|4890	0.392331	0.003940302058135194	71886
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria	2|1224|1236	52.378449	0.526052737265481	2807892
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	46.949219	0.4715253219007559	1501113
k__Eukaryota|p__Ascomycota|c__Saccharomycetes	2759|4890|4891	0.392331	0.003940302058135194	71886
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	38.885682	0.3905407635337289	1906160
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	25.388433	0.25498377443171794	922023
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	21.560786	0.21654154746903798	579090
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales	2|1224|1236|72274	13.492767	0.13551197373175208	901732
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales	2759|4890|4891|4892	0.392331	0.003940302058135194	71886
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	2|1224|1236|91347|543	38.885682	0.3905407635337289	1906160
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae	2|1224|1236|72274|135621	13.492767	0.13551197373175208	901732
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	2|1239|91061|186826|81852	11.863823	0.11915199775677508	348163
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae	2|1239|91061|1385|186817	11.785758	0.11836796459211876	500018
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	2|1239|91061|186826|33958	9.696962	0.09738954971226288	230927
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae	2|1239|91061|1385|90964	8.465897	0.08502558530532854	246112
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Listeriaceae	2|1239|91061|1385|186820	5.136778	0.05159022453427064	175893
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae	2759|4890|4891|4892|4893	0.392331	0.003940302058135194	71886
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia	2|1224|1236|91347|543|561	19.868096	0.19954135225583075	956750
