#mpa_vJan25_CHOCOPhlAnSGB_202503
#/home/daniel.castanedamogo/anaconda3/envs/metaphlan4/bin/metaphlan --nproc 24 --input_type fastq --db_dir /bulk/IMCshared_bulk/shared/dbs/metaphlan4.2/ -t rel_ab_w_read_stats -o /bulk/IMCshared_bulk/daniel/parkinsons/novaseq/results_0526/metaphlan4/PD_110S_metaphlan4.txt --mapout /bulk/IMCshared_bulk/daniel/parkinsons/novaseq/results_0526/metaphlan4/PD_110S_bowtie2.vz2 --verbose /bulk/IMCshared_bulk/daniel/parkinsons/novaseq/results_0526/bbmerge/PD_110S_bbmerged.fastq.gz
#3178458 reads processed
#SampleID	Metaphlan_Analysis
#Estimated reads mapped to known clades: 3151296
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
UNCLASSIFIED	-1	0.854565	-	27162
k__Bacteria	2	99.145435	0.7626730639881463	3151296
k__Bacteria|p__Firmicutes	2|1239	65.362096	0.5027958213532245	1861828
k__Bacteria|p__Bacteroidota	2|976	30.984133	0.23834444445571532	1207473
k__Bacteria|p__Pseudomonadota	2|1224	1.953349	0.015026075244468761	37991
k__Bacteria|p__Actinomycetota	2|201174	0.476266	0.003663657937485327	22120
k__Bacteria|p__Thermodesulfobacteriota	2|200940	0.367558	0.0028274299978823104	17253
k__Bacteria|p__Bacteria_unclassified	2|	0.002033	1.5634999369988958e-05	4631
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	61.790133	0.47531861039115375	1729651
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	30.984133	0.23834444445571532	1207473
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	1.399443	0.010765171488066655	21412
k__Bacteria|p__Pseudomonadota|c__CFGB2404	2|1224|	1.354237	0.010417421407063164	22575
k__Bacteria|p__Firmicutes|c__CFGB1474	2|1239|	1.020177	0.007847682411798644	28814
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria	2|1224|28216	0.599113	0.004608653837405598	15416
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.485829	0.00373722280008631	14854
k__Bacteria|p__Actinomycetota|c__Actinomycetes	2|201174|1760	0.40891	0.0031455267936259653	13441
k__Bacteria|p__Thermodesulfobacteriota|c__Desulfovibrionia	2|200940|3031449	0.367558	0.0028274299978823104	17253
k__Bacteria|p__Firmicutes|c__CFGB3054	2|1239|	0.270988	0.002084562703848076	28369
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.098307	0.0007562219159436704	4337
k__Bacteria|p__Firmicutes|c__CFGB2949	2|1239|	0.083109	0.000639312048887008	5281
k__Bacteria|p__Firmicutes|c__CFGB79315	2|1239|	0.080246	0.0006172913430712193	8198
k__Bacteria|p__Actinomycetota|c__Coriobacteriia	2|201174|84998	0.067356	0.0005181311438593615	8679
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.04875	0.0003750107704419117	4134
k__Bacteria|p__Firmicutes|c__CFGB1765	2|1239|	0.039486	0.00030374566779935646	4268
k__Bacteria|p__Firmicutes|c__CFGB3048	2|1239|	0.027461	0.0002112451204878197	7018
k__Bacteria|p__Firmicutes|c__CFGB1217	2|1239|	0.018166	0.00013974469164016462	5492
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	2||	0.002033	1.5634999369988958e-05	4631
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales	2|1239|186801|3085636	35.675901	0.27443571653232274	1034365
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	30.984133	0.23834444445571532	1207473
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	26.114233	0.20088289385883104	695286
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	1.399443	0.010765171488066655	21412
k__Bacteria|p__Pseudomonadota|c__CFGB2404|o__OFGB2404	2|1224||	1.354237	0.010417421407063164	22575
k__Bacteria|p__Firmicutes|c__CFGB1474|o__OFGB1474	2|1239||	1.020177	0.007847682411798644	28814
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.599113	0.004608653837405598	15416
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.485829	0.00373722280008631	14854
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Bifidobacteriales	2|201174|1760|85004	0.40891	0.0031455267936259653	13441
k__Bacteria|p__Thermodesulfobacteriota|c__Desulfovibrionia|o__Desulfovibrionales	2|200940|3031449|213115	0.367558	0.0028274299978823104	17253
k__Bacteria|p__Firmicutes|c__CFGB3054|o__OFGB3054	2|1239||	0.270988	0.002084562703848076	28369
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.098307	0.0007562219159436704	4337
k__Bacteria|p__Firmicutes|c__CFGB2949|o__OFGB2949	2|1239||	0.083109	0.000639312048887008	5281
k__Bacteria|p__Firmicutes|c__CFGB79315|o__OFGB79315	2|1239||	0.080246	0.0006172913430712193	8198
k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.067356	0.0005181311438593615	8679
k__Bacteria|p__Firmicutes|c__CFGB1292|o__OFGB1292	2|1239||	0.04875	0.0003750107704419117	4134
k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765	2|1239||	0.039486	0.00030374566779935646	4268
k__Bacteria|p__Firmicutes|c__CFGB3048|o__OFGB3048	2|1239||	0.027461	0.0002112451204878197	7018
k__Bacteria|p__Firmicutes|c__CFGB1217|o__OFGB1217	2|1239||	0.018166	0.00013974469164016462	5492
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified	2|||	0.002033	1.5634999369988958e-05	4631
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae	2|1239|186801|3085636|186803	35.205291	0.270815565712161	1023144
