#mpa_vJan25_CHOCOPhlAnSGB_202503
#/home/daniel.castanedamogo/anaconda3/envs/metaphlan4/bin/metaphlan --nproc 24 --input_type fastq --db_dir /bulk/IMCshared_bulk/shared/dbs/metaphlan4.2/ -t rel_ab_w_read_stats -o /bulk/IMCshared_bulk/daniel/parkinsons/novaseq/results_0526/metaphlan4/PD_84P_metaphlan4.txt --mapout /bulk/IMCshared_bulk/daniel/parkinsons/novaseq/results_0526/metaphlan4/PD_84P_bowtie2.vz2 --verbose /bulk/IMCshared_bulk/daniel/parkinsons/novaseq/results_0526/bbmerge/PD_84P_bbmerged.fastq.gz
#2614211 reads processed
#SampleID	Metaphlan_Analysis
#Estimated reads mapped to known clades: 2809365
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
UNCLASSIFIED	-1	0.0	-	-195154
k__Bacteria	2	93.39525	0.7285867925189081	2716195
k__Archaea	2157	6.60475	0.05152435689367432	93170
k__Bacteria|p__Firmicutes	2|1239	74.83608	0.5838045949853773	2060379
k__Bacteria|p__Bacteroidota	2|976	9.28378	0.07242377121238765	349651
k__Archaea|p__Methanobacteriota	2157|28890	6.60475	0.05152435689367432	93170
k__Bacteria|p__Verrucomicrobiota	2|74201	5.36276	0.04183548694130032	132511
k__Bacteria|p__Actinomycetota	2|201174	2.40674	0.018775261725248286	65658
k__Bacteria|p__Pseudomonadota	2|1224	0.55686	0.004344163287238878	26214
k__Bacteria|p__Lentisphaerota	2|256845	0.36962	0.0028834643333953804	29884
k__Bacteria|p__Thermodesulfobacteriota	2|200940	0.33926	0.0026466399639393412	37350
k__Bacteria|p__Chloroflexota	2|200795	0.21603	0.0016852727552792179	7410
k__Bacteria|p__Synergistota	2|508458	0.02412	0.0001881373147417447	7138
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	33.61206	0.26221143154949905	1024418
k__Bacteria|p__Firmicutes|c__CFGB79315	2|1239|	11.71392	0.09138160452808815	295295
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	9.28378	0.07242377121238765	349651
k__Archaea|p__Methanobacteriota|c__Methanobacteria	2157|28890|183925	6.60475	0.05152435689367432	93170
k__Bacteria|p__Firmicutes|c__CFGB1776	2|1239|	5.9256	0.04622625965897275	66486
k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia	2|74201|203494	5.36276	0.04183548694130032	132511
k__Bacteria|p__Firmicutes|c__CFGB1765	2|1239|	4.50944	0.035178614160686274	91868
k__Bacteria|p__Firmicutes|c__CFGB3054	2|1239|	2.63783	0.0205779786319594	72116
k__Bacteria|p__Firmicutes|c__CFGB4648	2|1239|	2.33685	0.018229992942762355	45083
k__Bacteria|p__Firmicutes|c__CFGB2982	2|1239|	1.45631	0.011360872469159154	25704
k__Bacteria|p__Firmicutes|c__CFGB2875	2|1239|	1.32368	0.010326139136127406	18974
k__Bacteria|p__Firmicutes|c__CFGB73062	2|1239|	1.30966	0.010216794996405557	17077
k__Bacteria|p__Actinomycetota|c__Actinomycetes	2|201174|1760	1.26717	0.00988531966419754	27370
k__Bacteria|p__Firmicutes|c__CFGB9345	2|1239|	0.89692	0.006996999720008527	15402
k__Bacteria|p__Firmicutes|c__CFGB58251	2|1239|	0.89418	0.006975612325814564	30571
k__Bacteria|p__Firmicutes|c__CFGB3062	2|1239|	0.85645	0.006681285532690164	15993
k__Bacteria|p__Firmicutes|c__CFGB2942	2|1239|	0.73604	0.005741963853713873	17487
k__Bacteria|p__Actinomycetota|c__Coriobacteriia	2|201174|84998	0.70926	0.005532981569660513	26350
k__Bacteria|p__Firmicutes|c__CFGB9989	2|1239|	0.68039	0.005307809794504726	16841
k__Bacteria|p__Firmicutes|c__CFGB2984	2|1239|	0.46126	0.003598312863117639	9767
k__Bacteria|p__Firmicutes|c__CFGB10309	2|1239|	0.45255	0.0035303757954277194	11292
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria	2|1224|28216	0.38104	0.002972537174459602	16612
k__Bacteria|p__Firmicutes|c__CFGB81729	2|1239|	0.36051	0.0028124066963297225	6774
k__Bacteria|p__Firmicutes|c__CFGB78183	2|1239|	0.34633	0.0027017403659588017	8326
k__Bacteria|p__Thermodesulfobacteriota|c__Desulfovibrionia	2|200940|3031449	0.33926	0.0026466399639393412	37350
k__Bacteria|p__Firmicutes|c__CFGB10239	2|1239|	0.32539	0.002538367771656204	5786
k__Bacteria|p__Lentisphaerota|c__CFGB2378	2|256845|	0.32416	0.002528791337588387	18138
k__Bacteria|p__Firmicutes|c__CFGB2937	2|1239|	0.31799	0.0024806860588221834	9631
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.30167	0.0023533673437187686	18630
k__Bacteria|p__Actinomycetota|c__CFGB2992	2|201174|	0.279	0.002176509846878583	6776
k__Bacteria|p__Chloroflexota|c__CFGB94700	2|200795|	0.21603	0.0016852727552792179	7410
k__Bacteria|p__Firmicutes|c__CFGB73223	2|1239|	0.20337	0.0015864736590115124	6175
k__Bacteria|p__Firmicutes|c__CFGB3023	2|1239|	0.20283	0.0015823091894583705	7599
k__Bacteria|p__Firmicutes|c__CFGB2960	2|1239|	0.19798	0.0015444320192359562	6671
k__Bacteria|p__Firmicutes|c__CFGB79291	2|1239|	0.1957	0.0015266434260713087	7085
k__Bacteria|p__Firmicutes|c__CFGB1354	2|1239|	0.193	0.0015056130628010676	8128
k__Bacteria|p__Firmicutes|c__CFGB1359	2|1239|	0.17159	0.0013385797158768867	13752
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.16552	0.0012912766106375777	5063
k__Bacteria|p__Firmicutes|c__CFGB2834	2|1239|	0.16347	0.001275277212518404	7390
k__Bacteria|p__Actinomycetota|c__CFGB12107	2|201174|	0.15132	0.0011804506445116504	5162
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	0.13475	0.0010511827231917713	17061
k__Bacteria|p__Pseudomonadota|c__CFGB2403	2|1224|	0.12994	0.0010136409165724598	4781
k__Bacteria|p__Firmicutes|c__CFGB3070	2|1239|	0.11399	0.0008892115365622025	7250
k__Bacteria|p__Firmicutes|c__CFGB3038	2|1239|	0.11118	0.0008673215413553624	11504
k__Bacteria|p__Firmicutes|c__CFGB8331	2|1239|	0.10671	0.0008324871004505472	7348
k__Bacteria|p__Firmicutes|c__CFGB3043	2|1239|	0.10569	0.0008244848947474173	4619
k__Bacteria|p__Firmicutes|c__CFGB73902	2|1239|	0.10312	0.0008044830549559174	2944
k__Bacteria|p__Firmicutes|c__Bacillota_unclassified	2|1239|	0.08794	0.0006860297072304836	5880
k__Bacteria|p__Firmicutes|c__CFGB2876	2|1239|	0.0851	0.0006638765192156588	2378
k__Bacteria|p__Firmicutes|c__CFGB88483	2|1239|	0.08096	0.000631590939239102	7294
k__Bacteria|p__Firmicutes|c__CFGB15212	2|1239|	0.07253	0.0005658418665755624	3943
k__Bacteria|p__Firmicutes|c__CFGB2873	2|1239|	0.07153	0.0005579771293270226	5432
k__Bacteria|p__Firmicutes|c__CFGB2881	2|1239|	0.07104	0.0005542134147765362	3966
k__Bacteria|p__Firmicutes|c__CFGB10318	2|1239|	0.06655	0.0005191703380273879	5044
k__Bacteria|p__Firmicutes|c__CFGB93792	2|1239|	0.0579	0.0004517025413047649	6492
k__Bacteria|p__Firmicutes|c__CFGB31455	2|1239|	0.05616	0.0004381117850727807	2720
k__Bacteria|p__Firmicutes|c__CFGB94588	2|1239|	0.05403	0.00042153141815078705	4410
k__Bacteria|p__Firmicutes|c__CFGB72899	2|1239|	0.05323	0.0004152304206194484	2535
k__Bacteria|p__Firmicutes|c__CFGB2890	2|1239|	0.04943	0.0003856461604463725	4889
k__Bacteria|p__Firmicutes|c__CFGB38400	2|1239|	0.04764	0.0003716109551886598	3342
k__Bacteria|p__Firmicutes|c__CFGB10021	2|1239|	0.04636	0.0003616703376284351	6095
k__Bacteria|p__Pseudomonadota|c__CFGB10055	2|1224|	0.04589	0.00035798519620681675	4821
k__Bacteria|p__Firmicutes|c__CFGB84092	2|1239|	0.04557	0.0003555200098150385	4853
k__Bacteria|p__Lentisphaerota|c__Lentisphaeria	2|256845|1313211	0.04546	0.0003546729958069934	11746
k__Bacteria|p__Firmicutes|c__CFGB51794	2|1239|	0.04368	0.0003407816977697067	4229
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.04363	0.00034035180543293337	8680
