feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Brotaphodocola.s__Brotaphodocola.sp003478505	Group	PD	-0.482022722038924	0.0892719125084656	146	22	2.86648272250801e-07	0.000321619361465399
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Anthropogastromicrobium.s__Anthropogastromicrobium.sp934292725	Group	PD	-1.69889305799108	0.33670944973691	146	94	1.41065038995395e-06	0.000527583245842778
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Hominiventricola.s__Hominiventricola.sp003480725	Group	PD	-0.683886318777383	0.13550285914553	146	40	1.4016649861249e-06	0.000527583245842778
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Roseburia_B.s__Roseburia_B.zhanii	Group	PD	-0.568391575596739	0.120429512649341	146	20	5.76251351726799e-06	0.00161638504159367
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Brotaphodocola.s__Brotaphodocola.sp003480315	Group	PD	-0.436867275534055	0.0966297741085935	146	21	1.31891966650628e-05	0.0029596557316401
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Faecalibacterium.s__Faecalibacterium.sp934514285	Group	PD	-1.40895551479441	0.323894456307561	146	96	2.63945384665418e-05	0.00493577869324332
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Hominisplanchenecus.s__Hominisplanchenecus.faecis	Group	PD	-1.12876728240007	0.27833669215469	146	65	8.35772560941482e-05	0.0133962401910906
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Ruthenibacterium.s__Ruthenibacterium.lactatiformans	Group	PD	0.933178686468337	0.236656539737628	146	111	0.000127750454257093	0.0179170012095572
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Fusicatenibacter.s__Fusicatenibacter.saccharivorans	Group	PD	-1.13371242852333	0.308105963209346	146	132	0.000334798116062365	0.0417381651357749
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__UBA3402.s__UBA3402.sp003478355	Group	PD	-0.531403919083345	0.146461609815358	146	29	0.000401693163931004	0.0450699729930586
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Eubacterium_F.s__Eubacterium_F.sp003491505	Group	PD	-1.00697480271737	0.280910532287034	146	83	0.000468230596137318	0.0477595208060064
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Agathobacter.s__Agathobacter.rectalis	Group	PD	-1.49539265137849	0.43596322714609	146	110	0.000797670392010688	0.0745821816529994
d__Bacteria.p__Actinomycetota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae.g__Eggerthella.s__Eggerthella.lenta	Sex_Male1_Female2	Female	0.770719338187353	0.230413192720087	146	64	0.00106196302931886	0.0903727172935094
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Anaerostipes.s__	Group	PD	-0.9757561820183	0.295142777020492	146	132	0.00120819140766724	0.0903727172935094
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Schaedlerella.s__Schaedlerella.hominis	BMI	BMI	0.135335182924526	0.040912724813328	146	15	0.00120082444285246	0.0903727172935094
d__Bacteria.p__Bacillota.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__Streptococcus.mutans	Group	PD	0.659868155458744	0.203476176945972	146	24	0.00148585710225255	0.10030230986155
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__Alistipes.onderdonkii	Group	PD	1.10041232613962	0.340048170687396	146	106	0.00151973196759924	0.10030230986155
