feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
d__Bacteria.p__Actinomycetota.c__Actinomycetes.o__Actinomycetales.f__Bifidobacteriaceae.g__Bifidobacterium.s__Bifidobacterium.pseudocatenulatum	Age	Age	-0.410824145998028	0.113567328532321	146	26	0.000410894424989723	0.0989024123524744
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Alitiscatomonas.s__Alitiscatomonas.sp900066785	Age	Age	-0.231016665657783	0.0651561301055823	146	24	0.000528889905628205	0.0989024123524744
d__Bacteria.p__Actinomycetota.c__Actinomycetes.o__Actinomycetales.f__Bifidobacteriaceae.g__Bifidobacterium.s__Bifidobacterium.infantis	Age	Age	-0.584818227405782	0.196490077709585	146	87	0.00342298475535431	0.121249469641469
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Christensenellales.f__Aristaeellaceae.g__Pullichristensenella.s__Pullichristensenella.stercoripullorum	Age	Age	0.245311213582781	0.0754026488342764	146	49	0.00142112379419096	0.121249469641469
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Alitiscatomonas.s__Alitiscatomonas.sp900066535	Age	Age	-0.232336229687709	0.0767916702024894	146	40	0.00294036803172813	0.121249469641469
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Anaerobutyricum.s__Anaerobutyricum.soehngenii	Age	Age	0.476564977974388	0.15896756696809	146	96	0.00320331768580201	0.121249469641469
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Hominiventricola.s__Hominiventricola.sp003480725	Age	Age	-0.210527466996665	0.0636997001972664	146	40	0.00119873284603185	0.121249469641469
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Pararoseburia.s__Pararoseburia.lenta	Age	Age	-0.175322058581952	0.0558731934994453	146	18	0.00206449469742171	0.121249469641469
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Acutalibacteraceae.g__UMGS1623.s__UMGS1623.sp934647945	Age	Age	0.180450559863056	0.0609022743363851	146	36	0.00356616087180791	0.121249469641469
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Intestinimonas.s__Intestinimonas.butyriciproducens	Age	Age	0.162365537518048	0.0526537458283096	146	21	0.002451629912994	0.121249469641469
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Avimicrobium.s__Avimicrobium.caecorum	Age	Age	-0.165727973990227	0.0546729036248924	146	26	0.0028885090379153	0.121249469641469
d__Bacteria.p__Actinomycetota.c__Actinomycetes.o__Actinomycetales.f__Bifidobacteriaceae.g__Bifidobacterium.s__Bifidobacterium.adolescentis	Age	Age	-0.500880151149104	0.187838933025167	146	67	0.00854038664097928	0.179866852086139
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Christensenellales.f__Aristaeellaceae.g__Alectryocaccomicrobium.s__Alectryocaccomicrobium.faecavium	Age	Age	0.164803171047902	0.0608466947036713	146	23	0.00757829207247086	0.179866852086139
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospira.s__Lachnospira.pectinoschiza_A	Age	Age	-0.345855597179906	0.129934845070954	146	58	0.00865669341591042	0.179866852086139
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__UBA3402.s__UBA3402.sp003478355	Age	Age	-0.182276265132454	0.0661076117252344	146	29	0.00658413083441503	0.179866852086139
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__CAG.170.s__CAG.170.sp002404795	Age	Age	0.230703952494739	0.0862634893959107	146	44	0.0083519365174458	0.179866852086139
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Faecalibacterium.s__Faecalibacterium.sp900539945	Age	Age	-0.343422724881226	0.127662302295632	146	80	0.00798768149917634	0.179866852086139
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Faecalibacterium.s__Faecalibacterium.sp900758465	Age	Age	-0.213814632740964	0.0784392385154409	146	36	0.00720968379104696	0.179866852086139
