feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Blautia_A.s__Blautia_A.fusiformis	LEDD	LEDD	-0.586262731499409	0.19316416770313	100	80	0.0031106492056263	0.565927911525295
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides.salyersiae	LEDD	LEDD	0.186185025722259	0.0630587847537733	100	12	0.00398011674822453	0.565927911525295
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Paraprevotella.s__Paraprevotella.clara	LEDD	LEDD	0.209363777558466	0.0723941295450313	100	12	0.00475569673550668	0.565927911525295
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Enterocloster.s__Enterocloster.bolteae	LEDD	LEDD	0.311934613527905	0.113585742454433	100	27	0.00722422172342258	0.644761788815465
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Acutalibacteraceae.g__CAG.177.s__CAG.177.sp003514385	LEDD	LEDD	0.460104488106343	0.172569079803212	100	27	0.0090316852712598	0.64486232836795
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Blautia_A.s__Blautia_A.faecis	LEDD	LEDD	-0.334606387963406	0.132787032999204	100	95	0.0134261937509627	0.798858528182281
d__Bacteria.p__Actinomycetota.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Collinsella.s__Collinsella.sp023656745	LEDD	LEDD	-0.344402802114194	0.168979684736657	100	74	0.0443463228049475	0.80400350536787
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium.s__Clostridium.sp000435835	LEDD	LEDD	0.113458432678719	0.0532197510877658	100	12	0.0356237051138858	0.80400350536787
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Anaerostipes.s__	LEDD	LEDD	-0.42615625003455	0.173676631559588	100	86	0.0159802179535989	0.80400350536787
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Blautia_A.s__Blautia_A.sp900066205	LEDD	LEDD	-0.297421820777042	0.144368463440516	100	30	0.042147224486775	0.80400350536787
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Choladousia.s__Choladousia.sp902363665	LEDD	LEDD	-0.281447522063524	0.129487509712496	100	41	0.0322514688346413	0.80400350536787
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Dorea.s__Dorea.formicigenerans	LEDD	LEDD	-0.29693576749846	0.130186303120713	100	72	0.0248158325458617	0.80400350536787
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Dorea_A.s__Dorea_A.amylophila	LEDD	LEDD	-0.274842726399248	0.126570919975958	100	41	0.0324143240731175	0.80400350536787
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Eisenbergiella.s__Eisenbergiella.tayi	LEDD	LEDD	0.227118186367455	0.111062124668203	100	26	0.0436537412853874	0.80400350536787
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Eubacterium_F.s__Eubacterium_F.sp003491505	LEDD	LEDD	-0.318446779005891	0.150392414581905	100	49	0.0368623510920133	0.80400350536787
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__CAG.103.s__CAG.103.sp000432375	LEDD	LEDD	0.397413845356505	0.195512733127365	100	32	0.0449060494659962	0.80400350536787
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__CAG.103.s__CAG.103.sp905215475	LEDD	LEDD	0.357469496850411	0.163999837805944	100	32	0.0317784078497093	0.80400350536787
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Faecousia.s__Faecousia.sp000435995	LEDD	LEDD	-0.271834268979235	0.126287051832092	100	30	0.0339179087709504	0.80400350536787
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Gemmiger.s__Gemmiger.sp900540775	LEDD	LEDD	0.351369290768246	0.157940273648156	100	21	0.0284943566653373	0.80400350536787
d__Bacteria.p__Pseudomonadota.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae.g__Escherichia.s__Escherichia.coli_F	LEDD	LEDD	0.452047298589152	0.222534699996241	100	45	0.045042213185875	0.80400350536787
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Phocaeicola.s__Phocaeicola.dorei	LEDD	LEDD	-0.440405593501558	0.219336798417942	100	51	0.0475246355616151	0.807918804547457
d__Bacteria.p__Bacillota.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__Streptococcus.parasanguinis_G	LEDD	LEDD	-0.249618803321909	0.126246001982842	100	40	0.050943793595048	0.826678832428733
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Anaerobutyricum.s__Anaerobutyricum.hallii	LEDD	LEDD	-0.343806362042846	0.178048517324885	100	72	0.0564998899233779	0.876976552288953
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Lawsonibacter_A.s__Lawsonibacter_A.hominis	LEDD	LEDD	-0.160731768367961	0.0845176419414944	100	23	0.060265597879148	0.896450768452327
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium.s__Clostridium.saudiense	LEDD	LEDD	0.160623430827936	0.0857637508540352	100	20	0.0641956509338195	0.916713895334942
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Angelakisella.s__Angelakisella.sp900547385	LEDD	LEDD	0.188754186691324	0.102258216699542	100	29	0.068060225433094	0.934519249215945
d__Bacteria.p__Actinomycetota.c__Coriobacteriia.o__Coriobacteriales.f__QAMH01.g__QAMH01.s__QAMH01.sp900544245	LEDD	LEDD	-0.146848283777911	0.11078485287543	100	21	0.188209051217027	0.960893114963857
d__Bacteria.p__Bacillota.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__Streptococcus.sp001556435	LEDD	LEDD	-0.227926474776216	0.179033258476563	100	80	0.206123608461455	0.960893114963857
d__Bacteria.p__Bacillota.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__Streptococcus.sp902463925	LEDD	LEDD	-0.174842428277954	0.111684009405325	100	19	0.120823816669925	0.960893114963857
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Christensenellales.f__Aristaeellaceae.g__Ventricola.s__Ventricola.sp900542445	LEDD	LEDD	-0.239884209120509	0.132273206795575	100	46	0.07293783324712	0.960893114963857
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Christensenellales.f__CAG.138.g__PeH17.s__PeH17.sp000435055	LEDD	LEDD	-0.23205519342302	0.165720739902615	100	34	0.164722059532903	0.960893114963857
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__AF33.28.s__AF33.28.sp003477885	LEDD	LEDD	-0.110584912576733	0.0651010454167044	100	14	0.092689891920884	0.960893114963857
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Anthropogastromicrobium.s__Anthropogastromicrobium.sp934292725	LEDD	LEDD	-0.2936775873388	0.194655728706173	100	53	0.134728719914302	0.960893114963857
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Blautia.s__Blautia.celeris	LEDD	LEDD	0.154208966485444	0.0868114373522597	100	22	0.0789078996099749	0.960893114963857
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Blautia_A.s__Blautia_A.acetigignens	LEDD	LEDD	-0.161613341200249	0.106652088397293	100	32	0.133043878626646	0.960893114963857
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Blautia_A.s__Blautia_A.sp000436615	LEDD	LEDD	-0.22428390366973	0.154324614142516	100	24	0.149463801936695	0.960893114963857
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Blautia_A.s__Blautia_A.sp900548245	LEDD	LEDD	-0.22927465253042	0.129901413327322	100	29	0.0808133110776122	0.960893114963857
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Choladousia.s__Choladousia.sp902363135	LEDD	LEDD	-0.160067239121232	0.102951403148335	100	64	0.12335797097422	0.960893114963857
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Clostridium_AP.s__Clostridium_AP.scindens	LEDD	LEDD	0.147853246866851	0.0911405250041025	100	25	0.108097991289915	0.960893114963857
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Coprococcus.s__Coprococcus.ammoniilyticus	LEDD	LEDD	-0.18534045084788	0.145753701922858	100	12	0.206652418923993	0.960893114963857
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Dorea_D.s__Dorea_D.hominis	LEDD	LEDD	0.125927425538185	0.0992895043884211	100	29	0.207828211551962	0.960893114963857
