feature	metadata	value	name	coef	null_hypothesis	stderr	pval_individual	qval_individual	pval_joint	qval_joint	error	model	N	N_not_zero
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter;s__Fusicatenibacter saccharivorans	Group	PD	GroupPD	-0.813992072	0.237902005	0.226471334	9.66E-06	0.003856178	9.66E-06	0.003856178	NA	abundance	146	132
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis	Group	PD	GroupPD	-0.932422311	0.237902005	0.327509717	0.000550088	0.109742481	0.000550088	0.109742481	NA	abundance	146	110
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia hominis	Group	PD	GroupPD	-0.326539628	0.237902005	0.171791976	0.001595075	0.162052136	0.001595075	0.162052136	NA	abundance	146	102
d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp023656745	Group	PD	GroupPD	0.938253987	0.237902005	0.215264326	0.001624583	0.162052136	0.001624583	0.162052136	NA	abundance	146	111
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger formicilis	Group	PD	GroupPD	-0.633228716	0.237902005	0.27932944	0.002538528	0.202574522	0.002538528	0.202574522	NA	abundance	146	97
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes;s__	Group	PD	GroupPD	-0.464897426	0.237902005	0.232761458	0.00317178	0.210395988	0.00317178	0.210395988	NA	abundance	146	132
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira hominis	Group	PD	GroupPD	-0.511856	0.237902005	0.238318119	0.003691158	0.210395988	0.003691158	0.210395988	NA	abundance	146	35
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_F;s__Eubacterium_F sp003491505	Group	PD	GroupPD	-0.354065218	0.237902005	0.204932649	0.005334949	0.226640179	0.005334949	0.226640179	NA	abundance	146	83
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-194;s__CAG-194 sp000432915	Group	PD	GroupPD	-1.091188334	0.237902005	0.442677604	0.005486478	0.226640179	0.005486478	0.226640179	NA	abundance	146	32
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes_A;s__Alistipes_A ihumii	Group	PD	GroupPD	0.756245441	0.237902005	0.177185562	0.005680205	0.226640179	0.005680205	0.226640179	NA	abundance	146	51
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anthropogastromicrobium;s__Anthropogastromicrobium sp934292725	Group	PD	GroupPD	-0.477835306	0.237902005	0.258939017	0.007229272	0.258829403	0.007229272	0.258829403	NA	abundance	146	94
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A wexlerae_B	Group	PD	GroupPD	-0.501450994	0.237902005	0.272311613	0.007784343	0.258829403	0.007784343	0.258829403	NA	abundance	146	138
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp900539945	Group	PD	GroupPD	-0.388699685	0.237902005	0.236067344	0.010044999	0.295092931	0.010044999	0.295092931	NA	abundance	146	80
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp934514285	Group	PD	GroupPD	-0.455439224	0.237902005	0.264446207	0.010691903	0.295092931	0.010691903	0.295092931	NA	abundance	146	96
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hominiventricola;s__Hominiventricola filiformis	Group	PD	GroupPD	-0.204654206	0.237902005	0.164338901	0.011113786	0.295092931	0.011113786	0.295092931	NA	abundance	146	41
d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium;s__Phascolarctobacterium faecium	Group	PD	GroupPD	-0.432010499	0.237902005	0.25770009	0.0118333	0.295092931	0.0118333	0.295092931	NA	abundance	146	66
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_I	Group	PD	GroupPD	-0.266235163	0.237902005	0.195969374	0.013319874	0.31262527	0.013319874	0.31262527	NA	abundance	146	63
d__Bacteria;p__Bacillota_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-269;s__CAG-269 sp003525075	Group	PD	GroupPD	-0.475995709	0.237902005	0.274886351	0.015506734	0.318557116	0.015506734	0.318557116	NA	abundance	146	29
