#mpa_vJan25_CHOCOPhlAnSGB_202503
#/home/daniel.castanedamogo/anaconda3/envs/metaphlan4/bin/metaphlan --nproc 24 --input_type fastq --db_dir /bulk/IMCshared_bulk/shared/dbs/metaphlan4.2/ -t rel_ab_w_read_stats -o /bulk/IMCshared_bulk/daniel/parkinsons/novaseq/metqc_output_daniel_snakemake/metaphlan4/PD_108S_metaphlan4.txt --mapout /bulk/IMCshared_bulk/daniel/parkinsons/novaseq/metqc_output_daniel_snakemake/metaphlan4/PD_108S_bowtie2.vz2 --verbose /bulk/IMCshared_bulk/daniel/parkinsons/novaseq/metqc_output_daniel_snakemake/merged/PD_108S_bmtagged__merged.fastq
#10147250 reads processed
#SampleID	Metaphlan_Analysis
#Estimated reads mapped to known clades: 9191149
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
UNCLASSIFIED	-1	9.422267	-	956101
k__Bacteria	2	90.577733	2.5282010740205294	9191149
k__Bacteria|p__Firmicutes	2|1239	74.871211	2.0898014254008825	7438614
k__Bacteria|p__Bacteroidota	2|976	6.553738	0.18292760552790988	872513
k__Bacteria|p__Actinomycetota	2|201174	5.452191	0.15218127225392758	490126
k__Bacteria|p__Verrucomicrobiota	2|74201	3.255928	0.09087928999859157	282138
k__Bacteria|p__Thermodesulfobacteriota	2|200940	0.222471	0.00620960731200783	40237
k__Bacteria|p__Pseudomonadota	2|1224	0.201373	0.0056207173070266184	62944
k__Bacteria|p__Bacteria_unclassified	2|	0.020821	0.0005811562201833985	4577
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	64.669063	1.805039584131349	6497735
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	6.553738	0.18292760552790988	872513
k__Bacteria|p__Actinomycetota|c__Coriobacteriia	2|201174|84998	4.025554	0.11236106459938332	357389
k__Bacteria|p__Firmicutes|c__CFGB3054	2|1239|	3.498013	0.09763634813888046	215852
