#mpa_vJan25_CHOCOPhlAnSGB_202503
#/home/daniel.castanedamogo/anaconda3/envs/metaphlan4/bin/metaphlan --nproc 24 --input_type fastq --db_dir /bulk/IMCshared_bulk/shared/dbs/metaphlan4.2/ -t rel_ab_w_read_stats -o /bulk/IMCshared_bulk/daniel/parkinsons/novaseq/metqc_output_daniel_snakemake/metaphlan4/PD_Lib_pos_plate2_metaphlan4.txt --mapout /bulk/IMCshared_bulk/daniel/parkinsons/novaseq/metqc_output_daniel_snakemake/metaphlan4/PD_Lib_pos_plate2_bowtie2.vz2 --verbose /bulk/IMCshared_bulk/daniel/parkinsons/novaseq/metqc_output_daniel_snakemake/merged/PD_Lib_pos_plate2_bmtagged__merged.fastq
#7532405 reads processed
#SampleID	Metaphlan_Analysis
#Estimated reads mapped to known clades: 7468458
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
UNCLASSIFIED	-1	0.848959	-	63947
k__Bacteria	2	98.713539	2.002314911513082	7330862
k__Eukaryota	2759	0.437503	0.008874347077557881	137596
k__Bacteria|p__Firmicutes	2|1239	72.36981	1.4679561881914056	4456371
k__Bacteria|p__Pseudomonadota	2|1224	26.343729	0.5343587233216762	2874491
k__Eukaryota|p__Ascomycota	2759|4890	0.437503	0.008874347077557881	137596
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	72.36981	1.4679561881914056	4456371
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria	2|1224|1236	26.343729	0.5343587233216762	2874491
k__Eukaryota|p__Ascomycota|c__Saccharomycetes	2759|4890|4891	0.437503	0.008874347077557881	137596
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	37.163705	0.7538321565417103	2560631
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	35.206106	0.7141240316496952	1895740
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	19.248874	0.39044601244668364	1905034
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales	2|1224|1236|72274	7.094854	0.14391271087499258	969457
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales	2759|4890|4891|4892	0.437503	0.008874347077557881	137596
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	2|1224|1236|91347|543	19.248874	0.39044601244668364	1905034
