Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	per_base_sequence_quality	Total Bases	Sequence length	File type	basic_statistics	per_sequence_gc_content	sequence_length_distribution	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
PD_100P_filtered_prinseq_1	pass	0.0	pass	138.19497045	Sanger / Illumina 1.9	pass	436.1 Mbp	60-151	Conventional base calls	pass	fail	warn	3136742.0	pass	warn	pass	49.0	97.8385113713	PD_100P_filtered_prinseq_1.fastq	fail	pass
PD_100P_filtered_prinseq_2	pass	0.0	pass	138.075644092	Sanger / Illumina 1.9	pass	435.7 Mbp	60-151	Conventional base calls	pass	fail	warn	3136742.0	pass	warn	pass	50.0	97.7578744728	PD_100P_filtered_prinseq_2.fastq	fail	pass
PD_104P_filtered_prinseq_1	pass	0.0	pass	126.095222941	Sanger / Illumina 1.9	pass	592.9 Mbp	60-151	Conventional base calls	pass	pass	warn	4675638.0	pass	pass	pass	46.0	97.8603555858	PD_104P_filtered_prinseq_1.fastq	fail	pass
PD_104P_filtered_prinseq_2	pass	0.0	pass	126.112079678	Sanger / Illumina 1.9	pass	593 Mbp	60-151	Conventional base calls	pass	pass	warn	4675638.0	pass	pass	pass	46.0	97.9067987578	PD_104P_filtered_prinseq_2.fastq	fail	pass
PD_105P_filtered_prinseq_1	pass	0.0	pass	125.520384454	Sanger / Illumina 1.9	pass	397.1 Mbp	60-151	Conventional base calls	pass	fail	warn	3145657.0	pass	pass	pass	53.0	94.7249221745	PD_105P_filtered_prinseq_1.fastq	fail	pass
PD_105P_filtered_prinseq_2	pass	0.0	pass	125.542229811	Sanger / Illumina 1.9	pass	397.2 Mbp	60-151	Conventional base calls	pass	fail	warn	3145657.0	pass	pass	pass	53.0	94.7478401932	PD_105P_filtered_prinseq_2.fastq	fail	pass
PD_107P_filtered_prinseq_1	pass	0.0	pass	125.288084465	Sanger / Illumina 1.9	pass	83.5 kbp	60-151	Conventional base calls	pass	warn	warn	663.0	pass	fail	warn	44.0	98.7933634992	PD_107P_filtered_prinseq_1.fastq	fail	pass
PD_107P_filtered_prinseq_2	pass	0.0	pass	125.408748115	Sanger / Illumina 1.9	pass	83.6 kbp	60-151	Conventional base calls	pass	fail	warn	663.0	pass	warn	warn	44.0	98.7933634992	PD_107P_filtered_prinseq_2.fastq	fail	pass
PD_108S_filtered_prinseq_1	pass	0.0	pass	130.187338625	Sanger / Illumina 1.9	pass	683.5 Mbp	60-151	Conventional base calls	pass	warn	warn	5219607.0	pass	warn	pass	48.0	97.839615273	PD_108S_filtered_prinseq_1.fastq	fail	pass
PD_108S_filtered_prinseq_2	pass	0.0	pass	130.156902617	Sanger / Illumina 1.9	pass	683.3 Mbp	60-151	Conventional base calls	pass	warn	warn	5219607.0	pass	pass	pass	48.0	97.7675136895	PD_108S_filtered_prinseq_2.fastq	fail	pass
