feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
PWY.6823..molybdopterin.biosynthesis	Group	PD	-0.563567178670494	0.132095370860981	158	157	3.43343525679244e-05	0.00360621244257425
PWY.7198..pyrimidine.deoxyribonucleotides.de.novo.biosynthesis.IV	Group	PD	1.02556733575444	0.236979787438787	158	155	2.68194071748868e-05	0.00360621244257425
PWY.7357..thiamine.phosphate.formation.from.pyrithiamine.and.oxythiamine..yeast.	Group	PD	-0.287364720970897	0.064565479546708	158	158	1.62098772245056e-05	0.00360621244257425
PWY0.1296..purine.ribonucleosides.degradation	Group	PD	-0.275496109129951	0.0647504911966632	158	158	3.59721939408903e-05	0.00360621244257425
PWY.7117..C4.photosynthetic.carbon.assimilation.cycle..PEPCK.type	Group	PD	1.14060848507827	0.276770364499112	158	147	6.10379757928429e-05	0.004895245658586
PWY.6527..stachyose.degradation	Group	PD	-0.422648649184128	0.105217918698444	158	157	9.14439766529256e-05	0.00611150577297053
RIBOSYN2.PWY..flavin.biosynthesis.I..bacteria.and.plants.	Group	PD	-0.357342566274276	0.0911423044204407	158	156	0.000131902618563998	0.00755613572059477
PWY.241..C4.photosynthetic.carbon.assimilation.cycle..NADP.ME.type	Group	PD	1.04665314024063	0.272718686948185	158	147	0.000179923677253637	0.00886763753723476
PWY.5484..glycolysis.II..from.fructose.6.phosphate.	Group	PD	0.449405442011097	0.118364268670405	158	157	0.000209465072052787	0.00886763753723476
PYRIDNUCSAL.PWY..NAD.salvage.pathway.I..PNC.VI.cycle.	Group	PD	1.48421167693232	0.392432783608168	158	128	0.000221138093197874	0.00886763753723476
GLYCOLYSIS..glycolysis.I..from.glucose.6.phosphate.	Group	PD	0.432528713669184	0.115492470060545	158	157	0.000253256424435486	0.00923234783623908
PWY.6317..D.galactose.degradation.I..Leloir.pathway.	Group	PD	-0.252236092077218	0.068562160705614	158	157	0.000321958800805547	0.0102423013752583
PWY3O.4107..NAD.salvage.pathway.V..PNC.V.cycle.	Group	PD	1.56440235013122	0.426223851977849	158	128	0.000332044682988424	0.0102423013752583
PWY.1042..glycolysis.IV	Group	PD	-0.17556478825607	0.0496471680472228	158	158	0.000534614902363509	0.0153128982748405
GLYCOGENSYNTH.PWY..glycogen.biosynthesis.I..from.ADP.D.Glucose.	Group	PD	-0.239766663568617	0.0689443238123394	158	158	0.00065551021835839	0.017523973170781
ANAGLYCOLYSIS.PWY..glycolysis.III..from.glucose.	Group	PD	-0.15300613402817	0.0446657900556821	158	158	0.000784224010590447	0.0196546142654231
COBALSYN.PWY..superpathway.of.adenosylcobalamin.salvage.from.cobinamide.I	Group	PD	-0.368203638690751	0.109863634521663	158	157	0.00100853684573093	0.0237896044198883
ANAEROFRUCAT.PWY..homolactic.fermentation	Group	PD	0.322218182797022	0.097566117865856	158	157	0.00118796019920872	0.0251973818746012
PWY.6629..superpathway.of.L.tryptophan.biosynthesis	Group	PD	-0.186306636407745	0.0564383127692629	158	157	0.00119389091176415	0.0251973818746012
PANTO.PWY..phosphopantothenate.biosynthesis.I	Group	PD	-0.162801700191682	0.0496834080590865	158	158	0.00129414031637515	0.0252346355426974
PANTOSYN.PWY..superpathway.of.coenzyme.A.biosynthesis.I..bacteria.	Group	PD	-0.210394905608469	0.0643319824517777	158	156	0.00132151457954275	0.0252346355426974
PWY.5941..glycogen.degradation.II	Group	PD	-0.233566320995837	0.0717873893023313	158	157	0.00139717936752332	0.025466769380766
GLUCUROCAT.PWY..superpathway.of..beta..D.glucuronosides.degradation	Group	PD	-0.462628704343695	0.144479770379001	158	157	0.00165410767513746	0.0278889001073596
PWY.5913..partial.TCA.cycle..obligate.autotrophs.	Group	PD	0.913759518398449	0.285617068501443	158	146	0.00166916110368237	0.0278889001073596
TRPSYN.PWY..L.tryptophan.biosynthesis	Group	PD	-0.211440132118856	0.0672839526239609	158	157	0.00200508467720102	0.0321615582223044
PWY.7237..myo...chiro..and.scyllo.inositol.degradation	Group	PD	-0.374114814157611	0.119935599751668	158	158	0.0021597227212803	0.0333095696628231
PWY66.429..fatty.acid.biosynthesis.initiation..mitochondria.	Group	PD	-0.159211686526524	0.0513660013686438	158	158	0.0022998964760479	0.0341577217368596
GLUTORN.PWY..L.ornithine.biosynthesis.I	Group	PD	-0.168620005944018	0.0559038028207947	158	158	0.00298892648202576	0.0413296385962872
PWY.6293..superpathway.of.L.cysteine.biosynthesis..fungi.	Group	PD	1.27693614701107	0.422522131569334	158	69	0.00293426444367905	0.0413296385962872
PWY.801..homocysteine.and.cysteine.interconversion	Group	PD	1.29441814489334	0.432393894723539	158	69	0.00320666824713254	0.0415239350956628
PWY.8178..pentose.phosphate.pathway..non.oxidative.branch..II	Group	PD	-0.171810686484283	0.0573990829157281	158	158	0.00321007977048765	0.0415239350956628
COA.PWY.1..superpathway.of.coenzyme.A.biosynthesis.III..mammals.	Group	PD	-0.173639515643432	0.0591404386679081	158	156	0.00382741652609901	0.0479623133426782
PWY.4041...gamma..glutamyl.cycle	Group	PD	0.469324710456239	0.161131198523962	158	156	0.00410952261300653	0.0484681931710476
PWY.6292..superpathway.of.L.cysteine.biosynthesis..mammalian.	Group	PD	-0.552430703866684	0.189210420209817	158	155	0.00402336433021238	0.0484681931710476
COMPLETE.ARO.PWY..superpathway.of.aromatic.amino.acid.biosynthesis	Group	PD	-0.133772260935137	0.0461187236554629	158	158	0.0042627225669807	0.0488386214102646
PWY.7851..coenzyme.A.biosynthesis.II..eukaryotic.	Group	PD	-0.170627728005469	0.0591325477388681	158	156	0.00446147535960965	0.0496958783112075
CALVIN.PWY..Calvin.Benson.Bassham.cycle	Group	PD	-0.127487531264018	0.0445179881448635	158	158	0.00476327521038607	0.0498910938568032
PWY.5189..tetrapyrrole.biosynthesis.II..from.glycine.	Group	PD	1.22993584740629	0.430416252693877	158	97	0.00485225102347962	0.0498910938568032
PWY.6470..peptidoglycan.biosynthesis.V...beta..lactam.resistance.	Group	PD	-0.740909887832496	0.258980290045177	158	150	0.00480421618405655	0.0498910938568032
PWY.6892..thiazole.component.of.thiamine.diphosphate.biosynthesis.I	Group	PD	-0.282052041917265	0.099484519014906	158	157	0.00518779439565516	0.0509150918481035
PWY1ZNC.1..assimilatory.sulfate.reduction.IV	Group	PD	-0.612525704609898	0.21613689083752	158	147	0.0052057824582849	0.0509150918481035
P124.PWY..Bifidobacterium.shunt	Group	PD	1.02028012250034	0.367697554290076	158	116	0.00619915047505424	0.0535581875091856
PWY.5667..CDP.diacylglycerol.biosynthesis.I	Group	PD	-0.162898851725574	0.058550274919996	158	158	0.00606574526777005	0.0535581875091856
PWY.7242..D.fructuronate.degradation	Group	PD	-0.438323473219425	0.157911099326889	158	157	0.00618138523519401	0.0535581875091856
PWY.7340..9.cis..11.trans.octadecadienoyl.CoA.degradation..isomerase.dependent..yeast.	Group	PD	0.536933988442027	0.192478357699905	158	24	0.00593578529874737	0.0535581875091856
PWY0.1319..CDP.diacylglycerol.biosynthesis.II	Group	PD	-0.162898851725574	0.058550274919996	158	158	0.00606574526777005	0.0535581875091856
PWY0.41..allantoin.degradation.IV..anaerobic.	Group	PD	0.714210750234506	0.257791846072234	158	30	0.00627739354845817	0.0535581875091856
ARO.PWY..chorismate.biosynthesis.I	Group	PD	-0.127525257800666	0.0467517471265924	158	158	0.00710887403062171	0.0572979561159025
METH.ACETATE.PWY..methanogenesis.from.acetate	Group	PD	-0.553065783294949	0.202886435112217	158	155	0.00714438355559881	0.0572979561159025
PPGPPMET.PWY..ppGpp.metabolism	Group	PD	-0.611767500473365	0.223381250086837	158	151	0.00688687814665432	0.0572979561159025
PWY.6961..L.ascorbate.degradation.II..bacterial..aerobic.	Group	PD	1.28383070832266	0.472846830929205	158	74	0.00737216083866241	0.0579654214961496
PWY.7197..pyrimidine.deoxyribonucleotide.phosphorylation	Group	PD	0.353409182279608	0.130845115634403	158	158	0.00767797307045011	0.0592089846394326
PWY0.301..L.ascorbate.degradation.I..bacterial..anaerobic.	Group	PD	1.37574096126308	0.511607483414973	158	87	0.00794467519197357	0.0601097123015358
PWY.5918..superpathway.of.heme.b.biosynthesis.from.glutamate	Group	PD	0.900335644197326	0.335698263987599	158	81	0.00810697720532691	0.0602018122099276
FASYN.INITIAL.PWY..superpathway.of.fatty.acid.biosynthesis.initiation..E..coli.	Group	PD	0.898489909860948	0.337108900244035	158	55	0.00850187775206414	0.0613487103778513
PWY.6609..adenine.and.adenosine.salvage.III	Group	PD	-0.153804063937333	0.0577650854911965	158	158	0.00856740095052288	0.0613487103778513
GLUCONEO.PWY..gluconeogenesis.I	Group	PD	0.23223831907941	0.0882858708659467	158	157	0.00937998635718086	0.0623131830628243
PWY.6163..chorismate.biosynthesis.from.3.dehydroquinate	Group	PD	-0.139705435378767	0.0530974085345024	158	158	0.00936443691765224	0.0623131830628243
PWY.6285..superpathway.of.fatty.acids.biosynthesis..E..coli.	Group	PD	0.809548754328856	0.306381384286529	158	53	0.00907399590838782	0.0623131830628243
PWY.6700..queuosine.biosynthesis.I..de.novo.	Group	PD	-0.181311546740766	0.0684203342195616	158	158	0.00887925447680102	0.0623131830628243
PWY.7456...beta...1.4..mannan.degradation	Group	PD	-0.548017882945262	0.2086263513038	158	154	0.00947906276018026	0.0623131830628243
PWY.5692..allantoin.degradation.to.glyoxylate.II	Group	PD	0.399462028092909	0.153784038910715	158	25	0.0102877833960569	0.0654825578066482
URDEGR.PWY..superpathway.of.allantoin.degradation.in.plants	Group	PD	0.399462028092909	0.153784038910715	158	25	0.0102877833960569	0.0654825578066482
GALACTUROCAT.PWY..D.galacturonate.degradation.I	Group	PD	-0.425850649318752	0.166107449707226	158	156	0.0113009411093563	0.0667726148665425
P164.PWY..purine.nucleobases.degradation.I..anaerobic.	Group	PD	-0.463663276826458	0.180067657872507	158	150	0.0109551723872552	0.0667726148665425
PWY.7204..pyridoxal.5..phosphate.salvage.II..plants.	Group	PD	1.0909074946429	0.425637183095365	158	48	0.0113230369349748	0.0667726148665425
PWY.7761..NAD.salvage.pathway.II..PNC.IV.cycle.	Group	PD	0.352838139142313	0.137105806459498	158	157	0.010999748080741	0.0667726148665425
PWY66.389..phytol.degradation	Group	PD	1.51116144525675	0.586513505977791	158	51	0.0109074051333092	0.0667726148665425
PWY.5022..4.aminobutanoate.degradation.V	Group	PD	1.2890316973345	0.506554696471187	158	58	0.0119081567439339	0.0692053747002537
