feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Brotaphodocola.s__Brotaphodocola.sp003478505	Group_and_sex	PD male	-0.553075900369439	0.12594066610492	167	28	2.0179702042882e-05	0.0125921340747584
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Agathobacter.s__Agathobacter.rectalis	Group_and_sex	PD male	-2.70879674363292	0.613562578032859	167	127	1.83323796031744e-05	0.0125921340747584
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Brotaphodocola.s__Brotaphodocola.sp003478505	Group_and_sex	PD female	-0.567313856648695	0.133306950995717	167	28	3.50634750330511e-05	0.0145864056137493
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Phocaeicola.s__Phocaeicola.dorei	Group_and_sex	HC female	-2.47188881031769	0.672081481694231	167	88	0.000318935927198465	0.099508009285921
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Hominiventricola.s__Hominiventricola.sp003480725	Group_and_sex	PD female	-0.738331514762864	0.20876333085177	167	47	0.000527796903956118	0.131738107227447
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Roseburia_B.s__Roseburia_B.zhanii	Group_and_sex	PD female	-0.597018726144327	0.17345663005065	167	23	0.000734015668470475	0.147973214251647
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Hominiventricola.s__Hominiventricola.sp003480725	Group_and_sex	PD male	-0.671771688140597	0.197227472006305	167	47	0.000829977964552506	0.147973214251647
d__Bacteria.p__Actinomycetota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae.g__Eggerthella.s__Eggerthella.lenta	Group_and_sex	PD female	1.2127012010491	0.362634819954264	167	77	0.00102415749224518	0.159768568790249
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Roseburia_B.s__Roseburia_B.zhanii	Group_and_sex	PD male	-0.518805879910105	0.163871751365729	167	23	0.00184533235307175	0.233087178819081
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Ruthenibacterium.s__Ruthenibacterium.lactatiformans	Group_and_sex	PD female	1.13243456688064	0.35811558116876	167	130	0.001867685727717	0.233087178819081
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Enterocloster.s__Enterocloster.sp900541315	Group_and_sex	PD female	-0.768888910783935	0.245596514280037	167	42	0.00206719033695724	0.234532140047512
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Anthropogastromicrobium.s__Anthropogastromicrobium.sp934292725	Group_and_sex	PD female	-1.65072474072703	0.534590385452741	167	102	0.0023704283784735	0.246524551361244
