feature	metadata	value	coef	stderr	N	N.not.0	pval	qval	tmp	
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Agathobacter.s__Agathobacter.rectalis	Group	PD	-1.850725397	0.41747527	167	127	1.69E-05	0.002505987	0.277252928	3.606814926
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Anthropogastromicrobium.s__Anthropogastromicrobium.sp934292725	Group	PD	-1.474129082	0.340277578	167	102	2.56E-05	0.002505987	0.359950622	2.77815883
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Faecalibacterium.s__Faecalibacterium.sp934514285	Group	PD	-1.192385713	0.320711891	167	105	0.000274835	0.016333059	0.43757866	2.285303401
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Fusicatenibacter.s__Fusicatenibacter.saccharivorans	Group	PD	-1.12441648	0.332341171	167	144	0.000894583	0.028626647	0.458687507	2.180133499
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Anaerostipes.s__	Group	PD	-0.977389456	0.321027089	167	144	0.002712779	0.063999509	0.507897946	1.968899477
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Hominisplanchenecus.s__Hominisplanchenecus.faecis	Group	PD	-0.961797573	0.279114634	167	72	0.000721961	0.027303263	0.513416806	1.947735228
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Blautia_A.s__Blautia_A.wexlerae_B	Group	PD	-0.759608055	0.337678416	167	155	0.025803028	0.19513628	0.590656776	1.693030607
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Eubacterium_F.s__Eubacterium_F.sp003491505	Group	PD	-0.724953534	0.265422019	167	96	0.006994404	0.096989068	0.605016531	1.652847401
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Faecalibacterium.s__Faecalibacterium.sp900539945	Group	PD	-0.69211388	0.295951492	167	90	0.020554714	0.171015221	0.618946287	1.615649082
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Faecalibacterium.s__Faecalibacterium.sp905215595	Group	PD	-0.625194973	0.335770377	167	120	0.064385469	0.297363444	0.648332153	1.542419262
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Hominimerdicola.s__Hominimerdicola.aceti	Group	PD	-0.613065939	0.359270517	167	93	0.089811514	0.319329827	0.653805791	1.529506183
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Otoolea.s__Otoolea.fessa	Group	PD	-0.601743026	0.208729028	167	89	0.004465564	0.079202355	0.658957339	1.517548922
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Agathobacter.s__Agathobacter.faecis	Group	PD	-0.594636785	0.404285935	167	105	0.143240974	0.400492186	0.662211153	1.510092355
