clade_name	PD_100P_GTDB	PD_100P_metaphlan4_GTDB	PD_104P_GTDB	PD_105P_GTDB	PD_107P_GTDB	PD_108S_GTDB	PD_109S_GTDB	PD_10P_GTDB	PD_110S_GTDB	PD_111P_GTDB	PD_112S_GTDB	PD_113P_GTDB	PD_114P_GTDB	PD_115S_GTDB	PD_116P_GTDB	PD_117_GTDB	PD_118_GTDB	PD_119P_GTDB	PD_11P_GTDB	PD_120S_GTDB	PD_121S_GTDB	PD_122S_GTDB	PD_123P_GTDB	PD_126P_GTDB	PD_127S_GTDB	PD_128S_GTDB	PD_129P_GTDB	PD_12P_GTDB	PD_130S_GTDB	PD_131P_GTDB	PD_134S_GTDB	PD_137P_GTDB	PD_138S_GTDB	PD_13P_GTDB	PD_140S_GTDB	PD_141P_GTDB	PD_142S_GTDB	PD_145P_GTDB	PD_146S_GTDB	PD_147_GTDB	PD_148P_GTDB	PD_149S_GTDB	PD_14P_GTDB	PD_150P_GTDB	PD_151S_GTDB	PD_152P_GTDB	PD_153S_GTDB	PD_156P_GTDB	PD_157S_GTDB	PD_158P_GTDB	PD_159S_GTDB	PD_15P_GTDB	PD_160P_GTDB	PD_161S_GTDB	PD_162P_GTDB	PD_163S_GTDB	PD_164P_GTDB	PD_165S_GTDB	PD_166_GTDB	PD_167P_GTDB	PD_169P_GTDB	PD_16P_GTDB	PD_170S_GTDB	PD_171P_GTDB	PD_172S_GTDB	PD_173P_GTDB	PD_174S_GTDB	PD_175P_GTDB	PD_176S_GTDB	PD_177P_GTDB	PD_178S_GTDB	PD_179P_GTDB	PD_180S_GTDB	PD_181P_GTDB	PD_182S_GTDB	PD_183P_GTDB	PD_184S_GTDB	PD_188S_GTDB	PD_189P_GTDB	PD_190S_GTDB	PD_191P_GTDB	PD_192S_GTDB	PD_193P_GTDB	PD_194S_GTDB	PD_195_GTDB	PD_196_GTDB	PD_197_GTDB	PD_198_GTDB	PD_199P_GTDB	PD_1P_GTDB	PD_200S_GTDB	PD_203_GTDB	PD_204_GTDB	PD_205P_GTDB	PD_206S_GTDB	PD_207P_GTDB	PD_208S_GTDB	PD_209P_GTDB	PD_210S_GTDB	PD_211P_GTDB	PD_212S_GTDB	PD_213S_GTDB	PD_214S_GTDB	PD_215S_GTDB	PD_216S_GTDB	PD_217P_GTDB	PD_218S_GTDB	PD_221P_GTDB	PD_222S_GTDB	PD_223P_GTDB	PD_224S_GTDB	PD_225P_GTDB	PD_226S_GTDB	PD_227P_GTDB	PD_228S_GTDB	PD_229P_GTDB	PD_230S_GTDB	PD_231P_GTDB	PD_232S_GTDB	PD_25P_GTDB	PD_26P_GTDB	PD_27P_GTDB	PD_28P_GTDB	PD_29P_GTDB	PD_2P_GTDB	PD_30P_GTDB	PD_31P_GTDB	PD_32P_GTDB	PD_33P_GTDB	PD_34P_GTDB	PD_35P_GTDB	PD_36P_GTDB	PD_38P_GTDB	PD_39P_GTDB	PD_3P_GTDB	PD_40P_GTDB	PD_41P_GTDB	PD_42P_GTDB	PD_43P_GTDB	PD_44P_GTDB	PD_45P_GTDB	PD_46P_GTDB	PD_47P_GTDB	PD_48P_GTDB	PD_4P_GTDB	PD_50P_GTDB	PD_51P_GTDB	PD_52P_GTDB	PD_53P_GTDB	PD_54P_GTDB	PD_55P_GTDB	PD_56P_GTDB	PD_57P_GTDB	PD_58P_GTDB	PD_59P_GTDB	PD_5P_GTDB	PD_60P_GTDB	PD_63P_GTDB	PD_64P_GTDB	PD_65P_GTDB	PD_66P_GTDB	PD_6P_GTDB	PD_70P_GTDB	PD_73P_GTDB	PD_74P_GTDB	PD_75P_GTDB	PD_76P_GTDB	PD_77P_GTDB	PD_78P_GTDB	PD_79S_GTDB	PD_7P_GTDB	PD_81P_GTDB	PD_82P_GTDB	PD_83P_GTDB	PD_84P_GTDB	PD_8P_GTDB	PD_9P_GTDB	PD_Extr_neg_plate1_GTDB	PD_Extr_neg_plate2_GTDB	PD_Extr_neg_plate3_GTDB	PD_Extr_pos_plate1_GTDB	PD_Extr_pos_plate2_GTDB	PD_Extr_pos_plate3_GTDB	PD_Lib_neg_plate1_GTDB	PD_Lib_neg_plate2_GTDB	PD_Lib_pos_plate1_GTDB	PD_Lib_pos_plate2_GTDB
UNCLASSIFIED	19.275276	19.275276	28.495631	28.782334	100.0	25.806755	26.725784	20.907482	24.709699	24.772964	29.952373	20.699652	33.792594	21.771936	25.692164	17.677019	21.384269	27.821241	25.284924	26.169082	22.660744	26.819892	26.369763	28.255543	21.423825	22.219423	22.451973	24.4865	16.050594	32.968894	26.187212	21.397724	24.116832	27.350009	23.407935	25.844509	18.02811	23.095948	21.357594	18.843704	23.993404	23.374397	24.50847	27.580485	25.56293	16.574612	26.184075	28.97568	30.757787	26.212133	23.864758	27.175594	24.012853	24.255952	20.992261	24.126976	23.805446	27.776577	21.569183	19.511772	25.616605	29.248235	21.293181	18.909702	14.355814	19.072758	19.19453	25.518659	21.064101	11.536985	21.528215	24.843949	23.918221	27.074115	2.74717	15.898052	23.269828	21.820506	27.227705	16.195259	6.125694	100.0	24.443517	20.47819	21.719393	24.49121	15.663813	16.996994	100.0	29.07601	19.35018	19.020607	24.225601	28.38896	26.74057	25.400383	19.294635	23.122047	17.555962	7.829305	15.606792	22.251467	7.458142	24.380118	48.634313	18.001425	100.0	21.073531	21.792353	22.894107	23.193334	27.447881	22.701368	27.144655	16.225861	24.475007	22.542598	27.158812	27.261569	23.406683	100.0	25.482916	0.0	20.838815	19.490023	22.379505	24.223445	27.789806	25.526485	29.748709	32.920167	100.0	29.369863	18.657585	27.090481	36.913576	20.09058	31.153165	23.152681	24.871979	26.591112	29.312015	24.933595	25.123976	28.448606	6.711057	20.239401	19.108982	24.447144	26.038606	25.982181	28.052482	28.961122	24.60187	23.050537	26.500184	22.9522	16.962065	26.327322	24.820228	31.124562	20.261726	26.491861	8.806608	29.629007	21.487315	26.861709	26.485113	24.289298	25.85065	24.595174	100.0	22.176331	37.987598	23.993421	37.499571	24.951657	100.0	100.0	100.0	40.116249	100.0	17.670371	100.0	100.0	12.35189	9.47797
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium adolescentis	11.686882	11.686882	0.27005	16.865263	0.0	0.0	0.0	0.321159	0.0	0.0	0.0	11.813423	0.0	0.0	0.0	0.0	0.0	0.794246	2.404575	1.977892	0.0	0.131411	0.0	0.0	0.0	0.647982	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.802561	0.0	0.0	1.73331	0.0	0.0	0.0	0.0	0.408257	0.0	0.0	0.0	0.0	1.228221	1.666584	0.0	0.0	0.01869	9.62077	0.0	0.0	0.0	3.513846	0.0	0.0	0.0	1.321543	0.0	0.350957	0.081078	0.522949	0.0	0.0	1.854607	0.924744	0.0	1.186884	0.0	0.0	0.453573	0.0	0.0	0.178226	0.0	0.0	0.0	0.0	0.0	1.915983	4.322054	1.107041	0.0	2.096454	0.0	0.0	1.993092	0.388869	1.23645	0.0	0.0	0.0	9.001011	0.986422	0.723829	0.472249	0.0	0.0	0.0	0.144548	0.0	0.0	0.0	0.0	0.840308	0.0	0.0	4.018902	0.667465	0.891198	0.0	0.0	5.831819	0.0	0.0	0.0	0.0	0.0	0.491424	0.0	0.703557	0.0	0.0	10.053715	1.89906	0.264586	0.0	0.0	0.0	0.0	3.452098	0.0	0.0	0.045053	3.555096	0.0	3.133243	0.0	2.218391	1.929344	0.0	0.0	0.0	0.0	0.601497	0.0	3.647999	7.815025	0.57555	2.045878	0.971433	0.0	1.658591	0.421271	0.0	1.426992	0.0	0.883909	0.922971	0.0	0.0	0.0	1.114203	4.54517	0.0	0.0	0.0	0.0	0.0	1.411086	0.0	0.755732	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp023656745	5.689446	5.689446	0.170148	1.023576	0.0	3.07674	0.10702	1.385212	0.0	0.0	0.0	0.0	0.0	0.0	1.005619	0.398131	0.0	0.900129	2.048291	2.007935	0.588238	0.0	0.814822	1.458223	0.0	0.64954	0.0	0.0	0.571759	0.0	0.419627	0.0	0.0	3.013575	1.36355	2.977314	0.0	0.815017	0.187345	0.600787	1.717588	0.0	1.426505	0.29283	1.141262	0.0	0.0	1.090676	1.273671	1.574618	1.737229	0.141005	0.458295	0.0	0.472322	0.457287	1.283377	0.053169	1.176697	0.343871	1.124327	1.871781	0.892126	0.167926	0.522736	0.0	0.0	1.389054	1.105151	0.522116	0.25817	0.347397	1.081746	1.766566	0.0	0.0	0.200631	0.293475	2.3479	0.914391	0.0	0.0	0.10505	0.434679	0.586333	0.0	1.206156	0.389215	0.0	0.0	1.840484	1.357352	0.170607	0.0	0.35983	5.895527	0.410561	1.402684	0.290491	0.0	0.0	0.240878	0.370407	0.06909	0.0	0.0	0.0	0.558514	0.544527	1.722686	0.515394	0.552146	0.212419	1.061149	0.799436	2.271834	4.511561	1.395185	0.584823	0.0	0.0	0.880854	2.05964	2.26448	1.198308	0.067418	0.493329	0.963163	1.142243	0.0	4.21701	0.0	1.340836	1.097287	0.447215	0.0	1.987371	6.863844	0.835494	2.545231	1.071045	1.700966	0.0	0.0	0.802754	1.018062	0.0	1.614468	0.0	3.142325	0.496866	1.116849	0.0	0.842033	0.630072	0.798734	0.0	0.0	0.91971	2.083961	2.404872	0.0	0.451154	0.641009	2.033606	0.283833	0.0	1.433435	3.222102	0.711045	0.0	0.0	0.0	0.0	0.619959	1.809162	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Scatomorpha;s__Scatomorpha sp900545405	5.583631	5.583631	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.260649	0.009079	0.041396	0.0	0.0	0.427489	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.010648	0.0	0.0	0.0	0.100601	0.0	1.094001	0.093362	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01103	0.0	0.000852	0.0	0.0	0.0	0.112007	0.0	0.010949	0.0	0.0	0.0	0.0	0.0	0.030029	0.0	0.0	0.0	0.014448	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6141	0.0	0.777134	0.0	0.0	2.117965	0.317322	0.049954	0.058075	0.0	0.0	0.0	0.0	0.0	0.043592	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.026902	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.330627	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.150801	0.115411	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.072715	0.0	0.0	0.0	0.024374	0.0	0.0	0.148583	0.0	0.0	0.009177	0.0	0.094853	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.074214	0.0	0.023901	0.0	0.0	0.0	0.0	0.600768	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Bacillota_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-273;s__CAG-273 sp946500265	5.22756	5.22756	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.188916	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.227201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp900066205	3.357729	3.357729	0.064589	0.0	0.0	0.165572	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.25672	0.362735	0.12014	1.148031	0.0	0.0	0.0	0.017369	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.085967	0.374723	0.0	0.0	0.0	0.002722	0.0	0.0	0.0	0.0	0.0	0.0	0.290242	0.0	0.312702	0.0	0.0	0.0	0.0	0.0	0.076407	0.0	0.0	0.0	0.066911	0.0	0.0	0.016247	0.0	0.176692	0.0	0.0	0.0	0.0	0.0	0.0	0.107782	0.0	0.0	0.161166	0.0	0.268667	0.006724	0.0	0.0	0.48135	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.057004	0.0	0.0	0.0	0.461337	0.0	0.0	0.779978	0.0	0.0	0.0	0.02452	0.0	0.173086	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.095285	0.104315	0.0	0.0	0.0	0.0	0.0	0.0	0.097035	0.0	0.0	0.0	0.0	0.0	0.0	0.44028	0.0	0.233033	0.0	0.0	0.0	0.0	0.570576	0.61635	0.0	0.0	0.208085	0.108643	0.0	3.715718	0.0	0.0	0.0	0.0	0.068561	0.0	0.0	0.0	0.07426	0.0	0.0	0.015936	0.044987	0.0	0.0	0.0	0.894634	3.687664	0.142962	0.0	0.326868	0.013449	0.0	0.0	0.0	2.066183	0.0	0.037842	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium infantis	2.270436	2.270436	1.033066	19.613203	0.0	0.0	0.003427	0.524189	0.2242	0.110019	0.0	11.224345	0.0	0.0	0.0	0.043634	0.096157	0.067227	0.033635	0.246842	0.0	0.95349	0.693473	0.237249	0.0	0.0	20.490166	0.0	0.0	0.0	0.059207	0.0	0.0	1.151748	2.250054	0.0	1.505528	0.71667	0.0	0.058373	0.0	0.0	1.569499	0.0	0.0	0.0	0.0	0.376602	0.166481	0.019677	1.572143	0.404339	3.619003	0.0	0.0	0.0	0.869947	0.0	0.817637	1.800129	0.0	0.0	0.0	0.0	0.0	0.379518	0.0	0.0	0.0	0.382581	0.741056	0.007697	0.0	0.946967	0.0	0.443806	0.244813	0.0	0.061341	1.263353	0.0	0.0	3.605375	3.101424	0.270468	0.0	1.23173	0.114592	0.0	2.993565	0.0	1.233474	0.11555	0.287553	0.018506	0.008932	0.30843	0.0	0.033251	0.0	0.0	0.050797	0.0	0.040469	0.0	0.0	0.0	1.041042	0.0	0.0	0.0	0.223469	0.032299	2.066951	0.0	0.152535	3.686736	3.200244	0.390482	0.0	0.0	0.099738	0.0	2.960806	0.0	0.0	9.110766	0.676482	0.379375	0.455113	0.902092	0.0	0.0	2.167672	0.237503	0.0	0.005265	6.596649	0.48243	3.036803	0.0	4.386196	1.593983	0.0	0.0	0.0	0.301612	0.571745	0.140624	1.101154	1.753594	0.243401	0.201779	0.024758	0.0	0.0	1.645722	1.993004	0.0	0.0	0.237441	0.0	0.026197	0.0	0.130505	0.0	4.397665	0.719146	0.0	0.251889	1.254895	0.0	0.457334	0.0	0.064728	0.0	10.565784	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus sp001556435	2.021329	2.021329	0.262385	0.200286	0.0	0.293151	0.048622	0.014734	0.002461	0.037868	0.0	0.284979	0.0	0.0	0.034289	1.123278	0.290421	0.258919	8.103807	0.0	0.002112	0.022051	0.047162	0.0	0.395605	0.0	0.029562	0.0	1.6199	0.369871	0.046111	0.980805	0.204372	0.057746	0.251739	0.026934	0.139336	0.080522	0.0	0.007089	0.06328	0.003352	0.126349	1.774735	0.605473	0.020808	0.006072	0.117511	0.142371	0.050618	0.17652	0.180861	0.020432	0.0	0.049772	0.031299	0.588264	0.469155	0.041466	0.055042	0.016716	0.225908	0.0	0.0	0.0	0.017272	0.031056	0.540282	0.002798	0.081989	0.052832	0.640187	2.38713	3.386752	0.0	0.199976	0.253904	0.0	0.013586	0.058856	0.0	0.0	0.102645	0.170471	0.113362	0.224534	0.106478	0.0	0.0	0.0	0.0448	0.0	0.233708	1.02536	0.476867	0.561543	0.147	0.146736	0.10294	0.0	0.0	0.068824	0.0	0.0	0.0	0.0	0.0	0.14142	0.010311	0.0	0.46805	0.23414	0.063902	0.054895	0.021651	0.337348	0.673299	0.032716	0.073204	0.023677	0.0	0.016574	0.0	0.278638	0.0	0.0	0.105534	0.137286	0.0	0.0	0.403046	0.0	0.0	0.0	0.728785	0.284613	3.996195	9.215108	0.0	0.346638	0.426381	0.0	1.786696	0.020942	0.0	0.0	0.034468	0.0	0.122358	0.48136	0.905627	0.030652	0.10467	8.742483	0.015311	0.214089	0.0	0.615935	0.0	0.0	0.668377	0.042505	0.053733	2.738838	0.273262	0.05246	0.161618	0.083523	0.0	0.133726	0.193743	0.0	0.428535	0.0	0.037497	0.024804	0.117512	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-177;s__CAG-177 sp003514385	1.843428	1.843428	0.0	0.0	0.0	0.0	0.0	0.14888	0.0	6.537171	0.0	0.0	0.0	0.0	0.042189	0.0	0.0	0.0	1.013162	0.0	0.0	0.0	0.0	0.0	0.0	0.150322	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011631	0.0	0.0	0.0	0.009369	0.10389	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.17983	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.245041	0.0	2.978588	0.006483	4.153356	0.186159	0.0	0.0	0.0	1.761018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.757161	0.0	3.093782	0.0	0.0	0.0	0.0	0.092235	0.0	0.0	0.0	0.0	0.0	0.0	1.413651	0.0	0.0	1.259722	0.0	0.0	0.0	0.274774	0.0	0.0	0.0	0.0	1.423702	0.130098	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.047401	1.228466	0.0	0.0	0.201205	1.043066	0.0	0.494382	0.0	0.71998	0.0	0.0	0.0	0.0	0.0	0.070444	0.0	0.531115	0.120563	0.0	0.0	0.793644	1.2888	0.0	0.0	0.0	0.0	0.0	0.16804	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Acutalibacter;s__Acutalibacter ornithocaccae	1.840946	1.840946	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125593	0.0	0.006799	0.001922	0.0	0.0	0.0	0.0	0.0	0.118946	0.0	0.006453	0.393803	0.074834	0.243262	0.511327	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.444944	0.009851	0.0	0.0	0.0	0.020906	0.0	0.027749	2.186351	0.016834	0.68405	0.0	0.255204	0.0	0.0	0.0	0.0	0.0	0.001926	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012559	0.032459	0.0	0.0	0.380768	0.0	0.095187	0.217308	0.0	0.016053	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.078423	0.0	0.0	0.0	0.110382	0.795666	0.010837	0.028041	0.0	0.0	0.107604	0.013616	0.715618	0.824824	0.0	0.0	0.0	0.565892	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.065285	0.0	0.141027	0.0	0.0	0.0	0.00646	0.0	0.0	0.0	0.110539	0.0	0.366893	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02466	0.0	0.0	0.0	0.0	0.0	0.260811	0.0	0.0	0.422869	0.031426	0.079791	0.012114	0.010017	1.782115	0.0	0.0	0.0	0.0	0.0	0.05961	0.051665	0.0	0.0	0.292674	0.0	0.008216	0.071945	0.0	0.14872	0.453445	0.0	0.012833	0.0	0.0	0.449269	0.0	0.0	0.055486	0.0	0.082382	0.0	0.043423	0.0	0.0	0.043347	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
