Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	per_base_sequence_quality	Total Bases	Sequence length	File type	basic_statistics	per_sequence_gc_content	sequence_length_distribution	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
PD_100P_filtered_1	pass	0.0	pass	138.306865159	Sanger / Illumina 1.9	pass	437.9 Mbp	60-151	Conventional base calls	pass	fail	warn	3150954.0	pass	warn	pass	49.0	97.8676420159	PD_100P_filtered_1.fastq	fail	pass
PD_100P_filtered_2	pass	0.0	pass	138.317743769	Sanger / Illumina 1.9	pass	437.9 Mbp	60-151	Conventional base calls	pass	fail	warn	3150954.0	pass	warn	pass	49.0	97.7922021321	PD_100P_filtered_2.fastq	fail	pass
PD_104P_filtered_1	pass	0.0	pass	126.390694093	Sanger / Illumina 1.9	pass	598.1 Mbp	60-151	Conventional base calls	pass	pass	warn	4709224.0	pass	warn	pass	46.0	97.9080934837	PD_104P_filtered_1.fastq	fail	pass
PD_104P_filtered_2	pass	0.0	pass	126.668311807	Sanger / Illumina 1.9	pass	599.4 Mbp	60-151	Conventional base calls	pass	pass	warn	4709224.0	pass	warn	pass	46.0	97.9658789931	PD_104P_filtered_2.fastq	fail	pass
PD_105P_filtered_1	pass	0.0	pass	125.693218237	Sanger / Illumina 1.9	pass	400.9 Mbp	60-151	Conventional base calls	pass	fail	warn	3174263.0	pass	fail	pass	53.0	94.7739833213	PD_105P_filtered_1.fastq	fail	pass
PD_105P_filtered_2	pass	0.0	pass	125.949116378	Sanger / Illumina 1.9	pass	401.7 Mbp	60-151	Conventional base calls	pass	fail	warn	3174263.0	pass	fail	pass	53.0	94.7788224418	PD_105P_filtered_2.fastq	fail	pass
PD_107P_filtered_1	pass	0.0	pass	124.553370787	Sanger / Illumina 1.9	pass	89.1 kbp	60-151	Conventional base calls	pass	warn	warn	712.0	pass	fail	warn	45.0	99.0168539326	PD_107P_filtered_1.fastq	fail	pass
PD_107P_filtered_2	pass	0.0	pass	123.758426966	Sanger / Illumina 1.9	pass	88.5 kbp	60-151	Conventional base calls	pass	warn	warn	712.0	pass	warn	warn	45.0	99.0168539326	PD_107P_filtered_2.fastq	fail	pass
PD_108S_filtered_1	pass	0.0	pass	130.371125135	Sanger / Illumina 1.9	pass	688.5 Mbp	60-151	Conventional base calls	pass	warn	warn	5255505.0	pass	warn	pass	47.0	97.8499725707	PD_108S_filtered_1.fastq	fail	pass
PD_108S_filtered_2	pass	0.0	pass	130.543606751	Sanger / Illumina 1.9	pass	689.4 Mbp	60-151	Conventional base calls	pass	warn	warn	5255505.0	pass	warn	pass	48.0	97.7881544626	PD_108S_filtered_2.fastq	fail	pass
PD_109S_filtered_1	pass	0.0	pass	129.180187688	Sanger / Illumina 1.9	pass	631.2 Mbp	60-151	Conventional base calls	pass	pass	warn	4861886.0	pass	warn	pass	46.0	97.3190635434	PD_109S_filtered_1.fastq	fail	pass
PD_109S_filtered_2	pass	0.0	pass	129.350498963	Sanger / Illumina 1.9	pass	632 Mbp	60-151	Conventional base calls	pass	pass	warn	4861886.0	pass	warn	pass	46.0	97.2606211717	PD_109S_filtered_2.fastq	fail	pass
PD_10P_filtered_1	pass	0.0	pass	125.261463863	Sanger / Illumina 1.9	pass	325.2 Mbp	60-151	Conventional base calls	pass	fail	warn	2583684.0	pass	warn	pass	50.0	98.9572913426	PD_10P_filtered_1.fastq	fail	pass
PD_10P_filtered_2	pass	0.0	pass	125.526244696	Sanger / Illumina 1.9	pass	325.9 Mbp	60-151	Conventional base calls	pass	warn	warn	2583684.0	pass	warn	pass	50.0	98.9596701358	PD_10P_filtered_2.fastq	fail	pass
PD_110S_filtered_1	pass	0.0	pass	127.245806262	Sanger / Illumina 1.9	pass	503 Mbp	60-151	Conventional base calls	pass	pass	warn	3933305.0	pass	warn	pass	46.0	98.2107035733	PD_110S_filtered_1.fastq	fail	pass
PD_110S_filtered_2	pass	0.0	pass	127.41838581	Sanger / Illumina 1.9	pass	503.6 Mbp	60-151	Conventional base calls	pass	pass	warn	3933305.0	pass	warn	pass	46.0	98.2131305625	PD_110S_filtered_2.fastq	fail	pass
PD_111P_filtered_1	pass	0.0	pass	130.019772562	Sanger / Illumina 1.9	pass	526.1 Mbp	60-151	Conventional base calls	pass	pass	warn	4026590.0	pass	warn	pass	49.0	97.4326677964	PD_111P_filtered_1.fastq	fail	pass
PD_111P_filtered_2	pass	0.0	pass	130.194860167	Sanger / Illumina 1.9	pass	526.8 Mbp	60-151	Conventional base calls	pass	pass	warn	4026590.0	pass	warn	pass	49.0	97.4981247912	PD_111P_filtered_2.fastq	fail	pass
PD_112S_filtered_1	pass	0.0	pass	126.283676976	Sanger / Illumina 1.9	pass	1.4 Mbp	60-151	Conventional base calls	pass	pass	warn	11640.0	pass	fail	pass	45.0	98.823024055	PD_112S_filtered_1.fastq	fail	pass
PD_112S_filtered_2	pass	0.0	pass	125.645532646	Sanger / Illumina 1.9	pass	1.4 Mbp	60-151	Conventional base calls	pass	pass	warn	11640.0	pass	warn	pass	45.0	98.9432989691	PD_112S_filtered_2.fastq	fail	pass
PD_113P_filtered_1	pass	0.0	pass	134.14757951	Sanger / Illumina 1.9	pass	668.3 Mbp	60-151	Conventional base calls	pass	fail	warn	4957653.0	pass	fail	pass	51.0	94.4735328111	PD_113P_filtered_1.fastq	fail	pass
PD_113P_filtered_2	pass	0.0	pass	134.275252826	Sanger / Illumina 1.9	pass	668.9 Mbp	60-151	Conventional base calls	pass	fail	warn	4957653.0	pass	fail	pass	51.0	94.5421526443	PD_113P_filtered_2.fastq	fail	pass
PD_114P_filtered_1	pass	0.0	pass	122.873714293	Sanger / Illumina 1.9	pass	418.3 Mbp	60-151	Conventional base calls	pass	pass	warn	3387826.0	pass	warn	pass	47.0	97.4043281098	PD_114P_filtered_1.fastq	fail	pass
PD_114P_filtered_2	pass	0.0	pass	123.162233834	Sanger / Illumina 1.9	pass	419.3 Mbp	60-151	Conventional base calls	pass	pass	warn	3387826.0	pass	warn	pass	47.0	97.3316194586	PD_114P_filtered_2.fastq	fail	pass
PD_115S_filtered_1	pass	0.0	pass	135.943856583	Sanger / Illumina 1.9	pass	505.2 Mbp	60-151	Conventional base calls	pass	warn	warn	3698243.0	pass	warn	pass	47.0	96.1808249941	PD_115S_filtered_1.fastq	fail	pass
PD_115S_filtered_2	pass	0.0	pass	136.089512236	Sanger / Illumina 1.9	pass	505.7 Mbp	60-151	Conventional base calls	pass	warn	warn	3698243.0	pass	warn	pass	47.0	96.2616667922	PD_115S_filtered_2.fastq	fail	pass
PD_116P_filtered_1	pass	0.0	pass	129.363691156	Sanger / Illumina 1.9	pass	735.3 Mbp	60-151	Conventional base calls	pass	warn	warn	5656115.0	pass	warn	pass	46.0	97.838367658	PD_116P_filtered_1.fastq	fail	pass
PD_116P_filtered_2	pass	0.0	pass	129.595677952	Sanger / Illumina 1.9	pass	736.6 Mbp	60-151	Conventional base calls	pass	warn	warn	5656115.0	pass	warn	pass	46.0	97.8034113355	PD_116P_filtered_2.fastq	fail	pass
PD_117_filtered_1	pass	0.0	pass	132.158695562	Sanger / Illumina 1.9	pass	540 Mbp	60-151	Conventional base calls	pass	pass	warn	4065873.0	pass	warn	pass	46.0	97.644524204	PD_117_filtered_1.fastq	fail	pass
PD_117_filtered_2	pass	0.0	pass	132.30626633	Sanger / Illumina 1.9	pass	540.6 Mbp	60-151	Conventional base calls	pass	pass	warn	4065873.0	pass	warn	pass	46.0	97.5980551498	PD_117_filtered_2.fastq	fail	pass
PD_118_filtered_1	pass	0.0	pass	133.050121068	Sanger / Illumina 1.9	pass	547.6 Mbp	60-151	Conventional base calls	pass	warn	warn	4095623.0	pass	warn	pass	47.0	98.2014875283	PD_118_filtered_1.fastq	fail	pass
PD_118_filtered_2	pass	0.0	pass	133.039921399	Sanger / Illumina 1.9	pass	547.6 Mbp	60-151	Conventional base calls	pass	warn	warn	4095623.0	pass	warn	pass	47.0	98.2610499731	PD_118_filtered_2.fastq	fail	pass
PD_119P_filtered_1	pass	0.0	pass	126.04115831	Sanger / Illumina 1.9	pass	506.3 Mbp	60-151	Conventional base calls	pass	pass	warn	3997443.0	pass	warn	pass	48.0	98.1651298571	PD_119P_filtered_1.fastq	fail	pass
PD_119P_filtered_2	pass	0.0	pass	126.232455097	Sanger / Illumina 1.9	pass	507.1 Mbp	60-151	Conventional base calls	pass	pass	warn	3997443.0	pass	warn	pass	48.0	98.22558692	PD_119P_filtered_2.fastq	fail	pass
PD_11P_filtered_1	pass	0.0	pass	126.444034627	Sanger / Illumina 1.9	pass	503.9 Mbp	60-151	Conventional base calls	pass	warn	warn	3965452.0	pass	warn	pass	48.0	98.1781205804	PD_11P_filtered_1.fastq	fail	pass
PD_11P_filtered_2	pass	0.0	pass	126.593552009	Sanger / Illumina 1.9	pass	504.5 Mbp	60-151	Conventional base calls	pass	warn	warn	3965452.0	pass	warn	pass	48.0	98.1842149073	PD_11P_filtered_2.fastq	fail	pass
PD_120S_filtered_1	pass	0.0	pass	126.323248372	Sanger / Illumina 1.9	pass	415 Mbp	60-151	Conventional base calls	pass	warn	warn	3269059.0	pass	warn	pass	48.0	98.074669477	PD_120S_filtered_1.fastq	fail	pass
PD_120S_filtered_2	pass	0.0	pass	126.531215864	Sanger / Illumina 1.9	pass	415.6 Mbp	60-151	Conventional base calls	pass	warn	warn	3269059.0	pass	warn	pass	48.0	98.1423788437	PD_120S_filtered_2.fastq	fail	pass
PD_121S_filtered_1	pass	0.0	pass	131.696060234	Sanger / Illumina 1.9	pass	749.4 Mbp	60-151	Conventional base calls	pass	warn	warn	5662747.0	pass	warn	pass	50.0	97.5126322771	PD_121S_filtered_1.fastq	fail	pass
PD_121S_filtered_2	pass	0.0	pass	131.841399942	Sanger / Illumina 1.9	pass	750.2 Mbp	60-151	Conventional base calls	pass	warn	warn	5662747.0	pass	fail	pass	50.0	97.4487287817	PD_121S_filtered_2.fastq	fail	pass
PD_122S_filtered_1	pass	0.0	pass	127.059835182	Sanger / Illumina 1.9	pass	569.7 Mbp	60-151	Conventional base calls	pass	warn	warn	4461890.0	pass	warn	pass	49.0	97.8783959445	PD_122S_filtered_1.fastq	fail	pass
PD_122S_filtered_2	pass	0.0	pass	127.326355872	Sanger / Illumina 1.9	pass	570.9 Mbp	60-151	Conventional base calls	pass	warn	warn	4461890.0	pass	warn	pass	49.0	97.8930087677	PD_122S_filtered_2.fastq	fail	pass
PD_123P_filtered_1	pass	0.0	pass	131.919804065	Sanger / Illumina 1.9	pass	684.5 Mbp	60-151	Conventional base calls	pass	pass	warn	5163354.0	pass	warn	pass	46.0	95.6534953904	PD_123P_filtered_1.fastq	fail	pass
PD_123P_filtered_2	pass	0.0	pass	132.137795704	Sanger / Illumina 1.9	pass	685.6 Mbp	60-151	Conventional base calls	pass	pass	warn	5163354.0	pass	warn	pass	46.0	95.6248898418	PD_123P_filtered_2.fastq	fail	pass
PD_126P_filtered_1	pass	0.0	pass	126.448312796	Sanger / Illumina 1.9	pass	663 Mbp	60-151	Conventional base calls	pass	fail	warn	5218013.0	pass	warn	pass	51.0	96.8142906931	PD_126P_filtered_1.fastq	fail	pass
PD_126P_filtered_2	pass	0.0	pass	126.619556908	Sanger / Illumina 1.9	pass	663.9 Mbp	60-151	Conventional base calls	pass	fail	warn	5218013.0	pass	warn	pass	51.0	96.7258587192	PD_126P_filtered_2.fastq	fail	pass
PD_127S_filtered_1	pass	0.0	pass	132.47228004	Sanger / Illumina 1.9	pass	713.5 Mbp	60-151	Conventional base calls	pass	pass	warn	5359748.0	pass	warn	pass	49.0	98.4471346288	PD_127S_filtered_1.fastq	fail	pass
PD_127S_filtered_2	pass	0.0	pass	132.646564727	Sanger / Illumina 1.9	pass	714.4 Mbp	60-151	Conventional base calls	pass	pass	warn	5359748.0	pass	warn	pass	49.0	98.4694541818	PD_127S_filtered_2.fastq	fail	pass
PD_128S_filtered_1	pass	0.0	pass	129.466830155	Sanger / Illumina 1.9	pass	628.5 Mbp	60-151	Conventional base calls	pass	pass	warn	4830517.0	pass	warn	pass	46.0	97.9807583859	PD_128S_filtered_1.fastq	fail	pass
PD_128S_filtered_2	pass	0.0	pass	129.587382469	Sanger / Illumina 1.9	pass	629.1 Mbp	60-151	Conventional base calls	pass	pass	warn	4830517.0	pass	warn	pass	46.0	98.0381894064	PD_128S_filtered_2.fastq	fail	pass
