Sample	Top over-represented sequence	Sum of remaining over-represented sequences
PD_100P_cutadapt_1	0	0
PD_100P_cutadapt_2	0.562707884486	0.0
PD_104P_cutadapt_1	0	0
PD_104P_cutadapt_2	0.239294853246	0.0
PD_105P_cutadapt_1	0	0
PD_105P_cutadapt_2	0.29243772344	0.0
PD_107P_cutadapt_1	1.42945633011	13.3558869777
PD_107P_cutadapt_2	84.9382951351	2.11559536856
PD_108S_cutadapt_1	0	0
PD_108S_cutadapt_2	0.244162116132	0.0
PD_109S_cutadapt_1	0	0
PD_109S_cutadapt_2	0.333833165421	0.0
PD_10P_cutadapt_1	0	0
PD_10P_cutadapt_2	0.870294003564	0.0
PD_110S_cutadapt_1	0	0
PD_110S_cutadapt_2	0.473837077126	0.0
PD_111P_cutadapt_1	0	0
PD_111P_cutadapt_2	0.329746131647	0.0
PD_112S_cutadapt_1	1.08520503798	1.73632806077
PD_112S_cutadapt_2	49.7813147423	1.285803545
PD_113P_cutadapt_1	0	0
PD_113P_cutadapt_2	0.28252931112	0.0
PD_114P_cutadapt_1	0	0
PD_114P_cutadapt_2	0.368548119791	0.0
PD_115S_cutadapt_1	0	0
PD_115S_cutadapt_2	0.316967729622	0.0
PD_116P_cutadapt_1	0	0
PD_116P_cutadapt_2	0.212380947724	0.0
PD_117_cutadapt_1	0	0
PD_117_cutadapt_2	0.276362321677	0.0
PD_118_cutadapt_1	0	0
PD_118_cutadapt_2	0.468413647547	0.0
PD_119P_cutadapt_1	0	0
PD_119P_cutadapt_2	0.365501336286	0.0
PD_11P_cutadapt_1	0	0
PD_11P_cutadapt_2	0.466753144857	0.0
PD_120S_cutadapt_1	0	0
PD_120S_cutadapt_2	0.398100841744	0.0
PD_121S_cutadapt_1	0	0
PD_121S_cutadapt_2	0.291409905157	0.0
PD_122S_cutadapt_1	0	0
PD_122S_cutadapt_2	0.20422954879	0.0
PD_123P_cutadapt_1	0	0
PD_123P_cutadapt_2	0.351693867832	0.0
PD_126P_cutadapt_1	0	0
PD_126P_cutadapt_2	0.226351914015	0.0
PD_127S_cutadapt_1	0	0
PD_127S_cutadapt_2	0.329044209789	0.0
PD_128S_cutadapt_1	0	0
PD_128S_cutadapt_2	0.330924261766	0.0
PD_129P_cutadapt_1	0	0
PD_129P_cutadapt_2	0.585466949033	0.0
PD_12P_cutadapt_1	0	0
PD_12P_cutadapt_2	0.435380828827	0.0
PD_130S_cutadapt_1	0	0
PD_130S_cutadapt_2	0.389345021282	0.0
PD_131P_cutadapt_1	0	0
PD_131P_cutadapt_2	0.371005794366	0.0
PD_134S_cutadapt_1	0	0
PD_134S_cutadapt_2	0.345382691634	0.0
PD_137P_cutadapt_1	0	0
PD_137P_cutadapt_2	0.260556222491	0.0
PD_138S_cutadapt_1	0	0
PD_138S_cutadapt_2	0.196066518357	0.0
PD_13P_cutadapt_1	0	0
PD_13P_cutadapt_2	0.4076233026	0.0
PD_140S_cutadapt_1	0	0
PD_140S_cutadapt_2	0.263155985692	0.0
PD_141P_cutadapt_1	0	0
PD_141P_cutadapt_2	0.268580688521	0.0
PD_142S_cutadapt_1	0	0
PD_142S_cutadapt_2	0.248713154939	0.0
PD_145P_cutadapt_1	0	0
PD_145P_cutadapt_2	0.321922355583	0.0
PD_146S_cutadapt_1	0	0
PD_146S_cutadapt_2	0.294412966229	0.0
PD_147_cutadapt_1	0	0
PD_147_cutadapt_2	0.309601920965	0.0
PD_148P_cutadapt_1	0	0
PD_148P_cutadapt_2	0.505704789905	0.0
