Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	per_base_sequence_quality	Total Bases	Sequence length	File type	basic_statistics	per_sequence_gc_content	sequence_length_distribution	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
PD_100P_cutadapt_1	pass	0.0	pass	139.113807117	Sanger / Illumina 1.9	pass	468.2 Mbp	60-151	Conventional base calls	pass	fail	warn	3345608.0	pass	warn	pass	49.0	96.8407216043	PD_100P_cutadapt_1.fastq.gz	fail	pass
PD_100P_cutadapt_2	fail	0.0	pass	150.464446821	Sanger / Illumina 1.9	pass	503.3 Mbp	130-151	Conventional base calls	pass	fail	warn	3345608.0	pass	warn	warn	50.0	96.1566976389	PD_100P_cutadapt_2.fastq.gz	fail	pass
PD_104P_cutadapt_1	pass	0.0	pass	127.107235868	Sanger / Illumina 1.9	pass	630.8 Mbp	60-151	Conventional base calls	pass	pass	warn	4934916.0	pass	pass	pass	46.0	97.1916044551	PD_104P_cutadapt_1.fastq.gz	fail	pass
PD_104P_cutadapt_2	fail	0.0	pass	149.384204311	Sanger / Illumina 1.9	pass	741.8 Mbp	100-151	Conventional base calls	pass	pass	warn	4934916.0	pass	pass	warn	47.0	96.9942095781	PD_104P_cutadapt_2.fastq.gz	fail	pass
PD_105P_cutadapt_1	pass	0.0	pass	126.420864662	Sanger / Illumina 1.9	pass	421.3 Mbp	60-151	Conventional base calls	pass	fail	warn	3313526.0	pass	pass	pass	53.0	94.0792323688	PD_105P_cutadapt_1.fastq.gz	fail	pass
PD_105P_cutadapt_2	fail	0.0	pass	149.40533981	Sanger / Illumina 1.9	pass	498.2 Mbp	64-151	Conventional base calls	pass	fail	warn	3313526.0	pass	pass	warn	53.0	93.8196215955	PD_105P_cutadapt_2.fastq.gz	fail	pass
PD_107P_cutadapt_1	fail	0.0	warn	147.566684138	Sanger / Illumina 1.9	fail	3.1 Mbp	60-151	Conventional base calls	pass	fail	warn	20987.0	pass	fail	fail	80.0	65.0069090389	PD_107P_cutadapt_1.fastq.gz	fail	pass
PD_107P_cutadapt_2	fail	0.0	fail	150.961071139	Sanger / Illumina 1.9	warn	3.1 Mbp	137-151	Conventional base calls	pass	fail	warn	20987.0	pass	fail	fail	92.0	10.778100729	PD_107P_cutadapt_2.fastq.gz	fail	pass
PD_108S_cutadapt_1	pass	0.0	pass	131.170614216	Sanger / Illumina 1.9	pass	730.5 Mbp	60-151	Conventional base calls	pass	warn	warn	5536895.0	pass	warn	pass	48.0	97.1699974206	PD_108S_cutadapt_1.fastq.gz	fail	pass
PD_108S_cutadapt_2	fail	0.0	pass	150.381569273	Sanger / Illumina 1.9	pass	832.6 Mbp	124-151	Conventional base calls	pass	warn	warn	5536895.0	pass	pass	warn	48.0	96.8788150922	PD_108S_cutadapt_2.fastq.gz	fail	pass
PD_109S_cutadapt_1	pass	0.0	pass	130.001496372	Sanger / Illumina 1.9	pass	669.7 Mbp	60-151	Conventional base calls	pass	pass	warn	5121720.0	pass	warn	pass	46.0	96.6972166567	PD_109S_cutadapt_1.fastq.gz	fail	pass
PD_109S_cutadapt_2	fail	0.0	pass	149.479536171	Sanger / Illumina 1.9	pass	770.4 Mbp	72-151	Conventional base calls	pass	pass	warn	5121720.0	pass	warn	warn	47.0	96.2706860211	PD_109S_cutadapt_2.fastq.gz	fail	pass
PD_10P_cutadapt_1	pass	0.0	pass	126.302296383	Sanger / Illumina 1.9	pass	348.5 Mbp	60-151	Conventional base calls	pass	fail	warn	2743096.0	pass	pass	pass	50.0	97.9175607828	PD_10P_cutadapt_1.fastq.gz	fail	pass
PD_10P_cutadapt_2	fail	0.0	pass	150.449189164	Sanger / Illumina 1.9	pass	412.6 Mbp	135-151	Conventional base calls	pass	fail	warn	2743096.0	pass	pass	warn	51.0	97.1156033657	PD_10P_cutadapt_2.fastq.gz	fail	pass
PD_110S_cutadapt_1	pass	0.0	pass	128.064658456	Sanger / Illumina 1.9	pass	535.4 Mbp	60-151	Conventional base calls	pass	pass	warn	4156703.0	pass	warn	pass	46.0	97.3327979302	PD_110S_cutadapt_1.fastq.gz	fail	pass
PD_110S_cutadapt_2	fail	0.0	pass	150.407431563	Sanger / Illumina 1.9	pass	625.1 Mbp	131-151	Conventional base calls	pass	pass	warn	4156703.0	pass	warn	warn	47.0	96.8900915671	PD_110S_cutadapt_2.fastq.gz	fail	pass
PD_111P_cutadapt_1	pass	0.0	pass	130.79215616	Sanger / Illumina 1.9	pass	556.5 Mbp	60-151	Conventional base calls	pass	pass	warn	4230224.0	pass	pass	pass	49.0	96.6615960332	PD_111P_cutadapt_1.fastq.gz	fail	pass
PD_111P_cutadapt_2	fail	0.0	pass	149.425272042	Sanger / Illumina 1.9	pass	636.1 Mbp	91-151	Conventional base calls	pass	pass	warn	4230224.0	pass	pass	warn	49.0	96.4124298645	PD_111P_cutadapt_2.fastq.gz	fail	pass
PD_112S_cutadapt_1	fail	0.0	pass	133.675819659	Sanger / Illumina 1.9	pass	4 Mbp	60-151	Conventional base calls	pass	fail	warn	30409.0	pass	fail	fail	62.0	87.7075865698	PD_112S_cutadapt_1.fastq.gz	fail	pass
PD_112S_cutadapt_2	fail	0.0	fail	150.715774935	Sanger / Illumina 1.9	pass	4.5 Mbp	137-151	Conventional base calls	pass	fail	warn	30409.0	pass	fail	fail	74.0	45.884442106	PD_112S_cutadapt_2.fastq.gz	fail	pass
PD_113P_cutadapt_1	pass	0.0	pass	134.9330017	Sanger / Illumina 1.9	pass	707.1 Mbp	60-151	Conventional base calls	pass	fail	warn	5209371.0	pass	pass	pass	51.0	93.8239332797	PD_113P_cutadapt_1.fastq.gz	fail	pass
PD_113P_cutadapt_2	fail	0.0	pass	149.474234413	Sanger / Illumina 1.9	pass	783.6 Mbp	92-151	Conventional base calls	pass	fail	warn	5209371.0	pass	pass	warn	52.0	93.6627972774	PD_113P_cutadapt_2.fastq.gz	fail	pass
