#mpa_vJan25_CHOCOPhlAnSGB_202503
#/home/daniel.castanedamogo/anaconda3/envs/metaphlan4/bin/metaphlan --nproc 24 --input_type fastq --db_dir /bulk/IMCshared_bulk/shared/dbs/metaphlan4.2/ -t rel_ab_w_read_stats -o /bulk/IMCshared_bulk/daniel/parkinsons/novaseq/metqc_output_daniel_snakemake/metaphlan4/PD_178S_metaphlan4.txt --mapout /bulk/IMCshared_bulk/daniel/parkinsons/novaseq/metqc_output_daniel_snakemake/metaphlan4/PD_178S_bowtie2.vz2 --verbose /bulk/IMCshared_bulk/daniel/parkinsons/novaseq/metqc_output_daniel_snakemake/merged/PD_178S_bmtagged__merged.fastq
#11015078 reads processed
#SampleID	Metaphlan_Analysis
#Estimated reads mapped to known clades: 10388744
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
UNCLASSIFIED	-1	5.686151	-	626334
k__Bacteria	2	94.298317	3.0664193465294276	10383474
k__Archaea	2157	0.015532	0.0005050626726332934	5270
k__Bacteria|p__Firmicutes	2|1239	77.477456	2.519433838247674	8238987
k__Bacteria|p__Bacteroidota	2|976	13.631328	0.4432673883938184	1817286
k__Bacteria|p__Actinomycetota	2|201174	2.644483	0.0859940510775396	240674
k__Bacteria|p__Verrucomicrobiota	2|74201	0.319367	0.010385281352151164	33099
k__Bacteria|p__Pseudomonadota	2|1224	0.179633	0.005841367695957447	35065
k__Bacteria|p__Thermodesulfobacteriota	2|200940	0.046049	0.001497419762286686	18363
k__Archaea|p__Methanobacteriota	2157|28890	0.015532	0.0005050626726332934	5270
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	65.488266	2.129565965410531	7152712
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	13.631328	0.4432673883938184	1817286
k__Bacteria|p__Firmicutes|c__CFGB3054	2|1239|	5.121076	0.1665285868614357	438177
k__Bacteria|p__Firmicutes|c__CFGB94588	2|1239|	2.982274	0.09697843006605913	212584
k__Bacteria|p__Actinomycetota|c__Actinomycetes	2|201174|1760	2.166927	0.07046475611868641	166860
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	1.337046	0.043478432954725685	100352
k__Bacteria|p__Firmicutes|c__CFGB84486	2|1239|	0.701675	0.022817253752980073	58204
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.43601	0.014178293492717344	42828
k__Bacteria|p__Actinomycetota|c__Coriobacteriia	2|201174|84998	0.405017	0.013170445605932092	64998
k__Bacteria|p__Firmicutes|c__CFGB1765	2|1239|	0.344174	0.011191936518607712	25156
k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia	2|74201|203494	0.319367	0.010385281352151164	33099
k__Bacteria|p__Firmicutes|c__Bacillota_unclassified	2|1239|	0.284773	0.009260314242575347	34390
k__Bacteria|p__Firmicutes|c__CFGB1354	2|1239|	0.209316	0.006806612490680173	19949
