#mpa_vJan25_CHOCOPhlAnSGB_202503
#/home/daniel.castanedamogo/anaconda3/envs/metaphlan4/bin/metaphlan --nproc 24 --input_type fastq --db_dir /bulk/IMCshared_bulk/shared/dbs/metaphlan4.2/ -t rel_ab_w_read_stats -o /bulk/IMCshared_bulk/daniel/parkinsons/novaseq/metqc_output_daniel_snakemake/metaphlan4/PD_183P_metaphlan4.txt --mapout /bulk/IMCshared_bulk/daniel/parkinsons/novaseq/metqc_output_daniel_snakemake/metaphlan4/PD_183P_bowtie2.vz2 --verbose /bulk/IMCshared_bulk/daniel/parkinsons/novaseq/metqc_output_daniel_snakemake/merged/PD_183P_bmtagged__merged.fastq
#12800356 reads processed
#SampleID	Metaphlan_Analysis
#Estimated reads mapped to known clades: 12561703
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
UNCLASSIFIED	-1	1.864425	-	238653
k__Bacteria	2	98.038054	3.5600953525556625	11685673
k__Eukaryota	2759	0.097521	0.0035413246214621797	876030
k__Bacteria|p__Firmicutes	2|1239	76.038958	2.7612332982263283	8480165
k__Bacteria|p__Bacteroidota	2|976	17.994065	0.6534257141724986	2772480
k__Bacteria|p__Actinomycetota	2|201174	2.73221	0.09921582830685675	269839
k__Bacteria|p__Pseudomonadota	2|1224	1.06311	0.03860515075302179	125449
k__Bacteria|p__Thermodesulfobacteriota	2|200940	0.209712	0.007615361096956845	37740
k__Eukaryota|p__Eukaryota_unclassified	2759|	0.097521	0.0035413246214621797	876030
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	51.887606	1.884215555374294	6381217
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	17.994065	0.6534257141724986	2772480
k__Bacteria|p__Firmicutes|c__CFGB3054	2|1239|	15.835624	0.5750454022314785	1277517
k__Bacteria|p__Firmicutes|c__CFGB94588	2|1239|	4.185199	0.15197883088749128	331506
k__Bacteria|p__Actinomycetota|c__Actinomycetes	2|201174|1760	1.952794	0.07091259648506298	157663
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	1.124148	0.04082164191139071	75969
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria	2|1224|28216	1.06311	0.03860515075302179	125449
k__Bacteria|p__Firmicutes|c__CFGB84486	2|1239|	0.947589	0.034410164477170865	87226
k__Bacteria|p__Firmicutes|c__CFGB9989	2|1239|	0.903962	0.03282592003860916	92111
k__Bacteria|p__Actinomycetota|c__Coriobacteriia	2|201174|84998	0.779416	0.028303231821793767	112176
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.380498	0.013817170008865204	41582
k__Bacteria|p__Thermodesulfobacteriota|c__Desulfovibrionia	2|200940|3031449	0.209712	0.007615361096956845	37740
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.199983	0.007262045695282455	44608
k__Bacteria|p__Firmicutes|c__CFGB77220	2|1239|	0.180887	0.006568635152526695	14453
k__Eukaryota|p__Eukaryota_unclassified|c__Bigyra	2759||2683628	0.097521	0.0035413246214621797	876030
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.080721	0.0029312464847130295	12622
k__Bacteria|p__Firmicutes|c__CFGB3048	2|1239|	0.076356	0.00277274064743426	17952
k__Bacteria|p__Firmicutes|c__CFGB1765	2|1239|	0.075405	0.0027382073982873674	10690
k__Bacteria|p__Firmicutes|c__CFGB1374	2|1239|	0.044659	0.001621727441399881	11101
k__Bacteria|p__Firmicutes|c__CFGB1011	2|1239|	0.035286	0.001281369717729285	7589
k__Bacteria|p__Firmicutes|c__CFGB3038	2|1239|	0.028968	0.0010519304798081899	24746
k__Bacteria|p__Firmicutes|c__CFGB79330	2|1239|	0.027313	0.000991809881347275	9857
k__Bacteria|p__Firmicutes|c__CFGB3057	2|1239|	0.017444	0.0006334483150682222	12695
k__Bacteria|p__Firmicutes|c__CFGB3004	2|1239|	0.004711	0.00017108184039270655	3893
k__Bacteria|p__Firmicutes|c__CFGB72924	2|1239|	0.001684	6.11517252845498e-05	15146
k__Bacteria|p__Firmicutes|c__CFGB77385	2|1239|	0.000915	3.321851775464117e-05	7685
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales	2|1239|186801|3085636	28.648213	1.0403140934027408	3875505
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	22.521916	0.8178474094465661	2411870
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	17.994065	0.6534257141724986	2772480
k__Bacteria|p__Firmicutes|c__CFGB3054|o__OFGB3054	2|1239||	15.835624	0.5750454022314785	1277517
k__Bacteria|p__Firmicutes|c__CFGB94588|o__OFGB94588	2|1239||	4.185199	0.15197883088749128	331506
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Bifidobacteriales	2|201174|1760|85004	1.952794	0.07091259648506298	157663
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	1.124148	0.04082164191139071	75969
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	1.06311	0.03860515075302179	125449
k__Bacteria|p__Firmicutes|c__CFGB84486|o__OFGB84486	2|1239||	0.947589	0.034410164477170865	87226
k__Bacteria|p__Firmicutes|c__CFGB9989|o__OFGB9989	2|1239||	0.903962	0.03282592003860916	92111
k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.770968	0.027996487240672423	97244
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.380498	0.013817170008865204	41582
k__Bacteria|p__Firmicutes|c__Clostridia|o__Monoglobales	2|1239|186801|3085656	0.37849	0.013744245231950251	39185
k__Bacteria|p__Firmicutes|c__Clostridia|o__Peptostreptococcales	2|1239|186801|3082720	0.338656	0.012297746177950038	47700
k__Bacteria|p__Thermodesulfobacteriota|c__Desulfovibrionia|o__Desulfovibrionales	2|200940|3031449|213115	0.209712	0.007615361096956845	37740
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.199983	0.007262045695282455	44608
k__Bacteria|p__Firmicutes|c__CFGB77220|o__OFGB77220	2|1239||	0.180887	0.006568635152526695	14453
k__Eukaryota|p__Eukaryota_unclassified|c__Bigyra|o__Opalinata	2759||2683628|42740	0.097521	0.0035413246214621797	876030
k__Bacteria|p__Firmicutes|c__CFGB1292|o__OFGB1292	2|1239||	0.080721	0.0029312464847130295	12622
k__Bacteria|p__Firmicutes|c__CFGB3048|o__OFGB3048	2|1239||	0.076356	0.00277274064743426	17952
k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765	2|1239||	0.075405	0.0027382073982873674	10690
k__Bacteria|p__Firmicutes|c__CFGB1374|o__OFGB1374	2|1239||	0.044659	0.001621727441399881	11101
k__Bacteria|p__Firmicutes|c__CFGB1011|o__OFGB1011	2|1239||	0.035286	0.001281369717729285	7589
k__Bacteria|p__Firmicutes|c__CFGB3038|o__OFGB3038	2|1239||	0.028968	0.0010519304798081899	24746
k__Bacteria|p__Firmicutes|c__CFGB79330|o__OFGB79330	2|1239||	0.027313	0.000991809881347275	9857
k__Bacteria|p__Firmicutes|c__CFGB3057|o__OFGB3057	2|1239||	0.017444	0.0006334483150682222	12695
k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.008447	0.0003067445811213442	14932
k__Bacteria|p__Firmicutes|c__CFGB3004|o__OFGB3004	2|1239||	0.004711	0.00017108184039270655	3893
k__Bacteria|p__Firmicutes|c__CFGB72924|o__OFGB72924	2|1239||	0.001684	6.11517252845498e-05	15146
k__Bacteria|p__Firmicutes|c__CFGB77385|o__OFGB77385	2|1239||	0.000915	3.321851775464117e-05	7685
k__Bacteria|p__Firmicutes|c__Clostridia|o__Christensenellales	2|1239|186801|3082768	0.000332	1.2061115086822972e-05	6957
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae	2|1239|186801|3085636|186803	28.648213	1.0403140934027408	3875505
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae	2|1239|186801|186802|216572	18.291028	0.6642094666711602	1797233
k__Bacteria|p__Firmicutes|c__CFGB3054|o__OFGB3054|f__FGB3054	2|1239|||	15.835624	0.5750454022314785	1277517
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	8.08166	0.29347256874835875	1562389
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	2|976|200643|171549|171550	7.447573	0.2704467306365659	806103
k__Bacteria|p__Firmicutes|c__CFGB94588|o__OFGB94588|f__FGB94588	2|1239|||	4.185199	0.15197883088749128	331506
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae	2|1239|186801|186802|31979	2.00429	0.07278257393299983	290409
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Bifidobacteriales|f__Bifidobacteriaceae	2|201174|1760|85004|31953	1.952794	0.07091259648506298	157663
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae	2|976|200643|171549|2005525	1.35377	0.04915999096691751	246802
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae	2|1239|909932|1843489|31977	1.124148	0.04082164191139071	75969
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Butyricicoccaceae	2|1239|186801|186802|3085642	1.118749	0.040625585646987324	128646
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	2|1224|28216|80840|995019	1.024369	0.03719833924391557	115797
k__Bacteria|p__Firmicutes|c__CFGB84486|o__OFGB84486|f__FGB84486	2|1239|||	0.947589	0.034410164477170865	87226
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae	2|976|200643|171549|2005519	0.915155	0.033232386781694316	120483
k__Bacteria|p__Firmicutes|c__CFGB9989|o__OFGB9989|f__FGB9989	2|1239|||	0.903962	0.03282592003860916	92111
k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae	2|201174|84998|1643822|1643826	0.770968	0.027996487240672423	97244
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Beduinellaceae	2|1239|186801|186802|3151707	0.505211	0.018345946934469313	57865
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	2|1239|91061|186826|1300	0.380498	0.013817170008865204	41582
k__Bacteria|p__Firmicutes|c__Clostridia|o__Monoglobales|f__Monoglobaceae	2|1239|186801|3085656|3085657	0.37849	0.013744245231950251	39185
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified	2|1239|186801|186802|	0.37483	0.013611359071836315	69276
k__Bacteria|p__Firmicutes|c__Clostridia|o__Peptostreptococcales|f__Peptostreptococcaceae	2|1239|186801|3082720|186804	0.338656	0.012297746177950038	47700
k__Bacteria|p__Thermodesulfobacteriota|c__Desulfovibrionia|o__Desulfovibrionales|f__Desulfovibrionaceae	2|200940|3031449|213115|194924	0.209712	0.007615361096956845	37740
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Coprobacillaceae	2|1239|526524|526525|2810280	0.199983	0.007262045695282455	44608
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae	2|976|200643|171549|1853231	0.195907	0.007114037038962161	36703
k__Bacteria|p__Firmicutes|c__CFGB77220|o__OFGB77220|f__FGB77220	2|1239|||	0.180887	0.006568635152526695	14453
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_Family_XIII_Incertae_Sedis	2|1239|186801|186802|543314	0.175356	0.0063677754315051805	34209
k__Eukaryota|p__Eukaryota_unclassified|c__Bigyra|o__Opalinata|f__Blastocystidae	2759||2683628|42740|2547934	0.097521	0.0035413246214621797	876030
k__Bacteria|p__Firmicutes|c__CFGB1292|o__OFGB1292|f__FGB1292	2|1239|||	0.080721	0.0029312464847130295	12622
k__Bacteria|p__Firmicutes|c__CFGB3048|o__OFGB3048|f__FGB3048	2|1239|||	0.076356	0.00277274064743426	17952
k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765|f__FGB1765	2|1239|||	0.075405	0.0027382073982873674	10690
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae	2|1239|186801|186802|186806	0.048647	0.0017665501148728135	22838
k__Bacteria|p__Firmicutes|c__CFGB1374|o__OFGB1374|f__FGB1374	2|1239|||	0.044659	0.001621727441399881	11101
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae	2|1224|28216|80840|75682	0.038741	0.0014068115091062133	9652
k__Bacteria|p__Firmicutes|c__CFGB1011|o__OFGB1011|f__FGB1011	2|1239|||	0.035286	0.001281369717729285	7589
