#mpa_vJan25_CHOCOPhlAnSGB_202503
#/home/daniel.castanedamogo/anaconda3/envs/metaphlan4/bin/metaphlan --nproc 24 --input_type fastq --db_dir /bulk/IMCshared_bulk/shared/dbs/metaphlan4.2/ -t rel_ab_w_read_stats -o /bulk/IMCshared_bulk/daniel/parkinsons/novaseq/metqc_output_daniel_snakemake/metaphlan4/PD_204_metaphlan4.txt --mapout /bulk/IMCshared_bulk/daniel/parkinsons/novaseq/metqc_output_daniel_snakemake/metaphlan4/PD_204_bowtie2.vz2 --verbose /bulk/IMCshared_bulk/daniel/parkinsons/novaseq/metqc_output_daniel_snakemake/merged/PD_204_bmtagged__merged.fastq
#7657002 reads processed
#SampleID	Metaphlan_Analysis
#Estimated reads mapped to known clades: 7314097
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
UNCLASSIFIED	-1	4.478319	-	342905
k__Bacteria	2	92.560791	1.798205853423778	7199118
k__Archaea	2157	2.96089	0.05752208539225176	114979
k__Bacteria|p__Firmicutes	2|1239	55.011306	1.0687209008725354	3814111
k__Bacteria|p__Bacteroidota	2|976	31.95369	0.6207737782027285	2984614
k__Bacteria|p__Verrucomicrobiota	2|74201	2.994242	0.05817001511791602	186576
k__Archaea|p__Methanobacteriota	2157|28890	2.96089	0.05752208539225176	114979
k__Bacteria|p__Actinomycetota	2|201174	2.141999	0.041613253393326534	145868
k__Bacteria|p__Thermodesulfobacteriota	2|200940	0.336078	0.006529093202816026	44038
k__Bacteria|p__Pseudomonadota	2|1224	0.123476	0.0023988126344553877	23911
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	33.582454	0.6524162675920638	2596278
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	31.95369	0.6207737782027285	2984614
k__Bacteria|p__Firmicutes|c__CFGB1765	2|1239|	10.214857	0.1984470556970272	375819
k__Bacteria|p__Firmicutes|c__CFGB3054	2|1239|	3.557175	0.06910628614065382	155361
k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia	2|74201|203494	2.994242	0.05817001511791602	186576
k__Archaea|p__Methanobacteriota|c__Methanobacteria	2157|28890|183925	2.96089	0.05752208539225176	114979
k__Bacteria|p__Firmicutes|c__CFGB79315	2|1239|	1.341472	0.0260611694615128	95371
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	1.198558	0.023284749972639702	55640
k__Bacteria|p__Firmicutes|c__CFGB14936	2|1239|	1.165147	0.022635659293123347	47509
k__Bacteria|p__Actinomycetota|c__Actinomycetes	2|201174|1760	1.005889	0.019541704380897123	76972
k__Bacteria|p__Firmicutes|c__Bacillota_unclassified	2|1239|	0.774952	0.015055221163008189	53775
k__Bacteria|p__Actinomycetota|c__CFGB2992	2|201174|	0.633803	0.012313087098202344	26264
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.535472	0.010402765138069973	73339
k__Bacteria|p__Firmicutes|c__CFGB1776	2|1239|	0.506241	0.009834890737044138	17637
